companyName,company_starRating,company_offeredRole,company_roleLocation,company_salary,listing_jobDesc,requested_url
Clyde&Co,3.4,CRM Insight Analyst,Singapore,NA,"Work with specialist BD teams to analyse and report on their respective data sets to illustrate performance and trends and inform future tactics Identify data quality issues and work with respective teams to implement remedial plans for future accuracy; track and drive these remedial plans Pr oactively drive a data use culture across APAC through dialogue with department members Work with the Business Development team to support the BD global leadership department in the compilation and presentation of BD program performance reports for global and regional boards (and other business areas as required) Learn the strategy and tactics of the global department and specialist teams to ensure data insight is complimentary and focused. Actively promote the utilisation of InterAction as a single, centralised source of client and target contact data across the region Ensure secretaries, fee earners and other users of the system have a high level of awareness of data integrity requirements Work closely with the Central CRM team and business development managers to ensure the system supports business development initiatives / activities across the region. Improve the overall quality of the region's contact data by reducing stagnant, duplicated and bad/incomplete contact records Work with secretaries and fee earners to clean their InterAction contact list, ensure their business contacts are shared to the firm, are accurate and are receiving the relevant firm updates or event invites Facilitate the data quality developing process and administering contact updates with fee earners and support staff, by way of running bounce-back reports and recording subscribe/ unsubscribe requests. Work with the BD team in the events process which involves building targeted client mailing lists, preparing invitations and processing RSVPs Ensure database system use for BD initiatives and activities are aligned to best practice Run ad hoc reports as requested by users and team members Regularly communicate with system users on updates, best practices and useful functionalities of the system Seek feedback from partners on delivery of benefits of the database and communicate to the CRM team Continually educate users (fee earners, secretaries, BD, Mktg, etc) of their responsibilities as end users, ensuring any useful feedbacks are communicated to relevant parties. Work with the IA global team, IT support and system engineers in relation to any major application upgrades or system enhancements. Strong overall data analytics capability Solid understanding of data modelling and relationship schema Experience with reporting visualisation tools, preferably the use of DAX through Microsoft Power BI, however other platforms such as Tableau would also be advantageous Use of Elite 3E or SSRS reporting Experience of working with CRM data to build reports on customer/client relations Stro n g knowledge of marketing data including Email Marketing, Web Analytics and Social Media Engagement Basic understanding of Microsoft Azure Data Lake A passionate, data-driven mindset with a strong desire to increase capabilities Strong organisational and project management skills The ability to work under pressure and to tight time frames The ability to understand complex management information Strong attention to detail Proactive team player Strong verbal and written communication skills Adept ability to quickly learn and navigate new systems / software An interest in MI, digital marketing and CRM. Local law Joint venture also in place",https://www.glassdoor.sg/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001877675d416a793d43636139657&src=GD_JOB_AD&t=SR&vt=w&cs=1_fd056419&cb=1681319646375&jobListingId=1008472370370&jrtk=3-0-1gtr7bl1si9h9801-1gtr7bl2og2r4800-527f0abf6160c2d6-
LATHAM & WATKINS LLP,4.3,Conflicts Reporting Analyst,Singapore,5000 - 8000,"Explaining to attorneys the meaning of data contained in the conflicts report as needed.
 Handling complex and special requests involving conflict-related issues.
 Researching and retrieving client/matter intake forms, new matter memos, accountant�s letters, engagement letters, waiver letters and other essential documents needed for the resolution of the conflict check. Responding to questions from attorneys and staff regarding these documents.
 Updating and inputting data into the Conflicts Database; spots and corrects errors; researches internal and external information resources to confirm the accuracy of the information.
 Have advanced ability to perceive and analyze problems and develop alternative strategies to solve them.
 Demonstrate the ability to work in a team environment with a customer service focus
 Display strong organizational skills needed to manage time well, prioritize effectively, and handle multiple deadlines; ability to handle multiple projects simultaneously
 A Bachelor�s degree - Four (4) years relevant experience may be considered in lieu of Bachelor�s degree.
 A Paralegal Certificate, Master�s of Library Science degree or its equivalent, or J.D. degree is preferred.
 Three (3) years relevant library, paralegal experience performing research functions, or related law firm experience (desired). A J.D. degree may be considered in lieu of related law firm experience.",https://www.glassdoor.sg/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001877675d416a793d43636139657&src=GD_JOB_AD&t=SR&vt=w&cs=1_9e4899b4&cb=1681319646375&jobListingId=1008533234950&cpc=AC285F3A3ECA6BB0&jrtk=3-0-1gtr7bl1si9h9801-1gtr7bl2og2r4800-0b6c9f3e8bce29c8--6NYlbfkN0DDngqMaf0VkHGuTUEdQzD8rifzbXva63y-SEiSuTkhE7b-S8tH-bNSG6IhsDkCTPppUvgQhBBQlsnV_DkY5I1D5QkPuiqbTyDIx-T75x1soQjFw5WrIMRHIu5iXZU03hG8peywoiZMWq4gILXERUMDtk5woRJtNSqPTgH1iNNpDllg29L-VA4ZjaLjaUoH--81iiuo0qT5xBXlZPx0EMp4sHVUYt02JZjyHOv5fDKDfisHTa7FAJ02Nl0evOHCbdO1cjgljssJ0xHDSWzbXSk8pDuXyKjoRk7r2Pht9s6nkpkhOZbRL93yjcNGvJDX4FPTIGmLwwxvTKFp6nkcXqvbzUDCk-GEL4kx0pysqFAvEDLoY-F1-ZHxg45yNYWlmuNf18GXAt0G2QnZGw6sBj2v2y4fya91qK7ChSg18HAUfEFdPIPC04gviGyl6416WT9KEMoQQCQXvsC8AU1BbDNYSr1Ui_o55HscMHZmWQ3e1cUhG9atUc1Qp1XWp6SigKZnA-Ye5w23D9t0RtbQdxI1XN4fba9hZ0CzcB0_e2Q_dshVuSXu9uzhNGezjZQv3rS81YlsfIPHK3bu9fYzCOPYjBJ9zuwhxxvRl0Eg3gpowdUN8Zwp0WbK732MFm3Ygcxk_vomYtS0i7Fuc5vX5tDcAnHNLAdCrREL9AJppK3Mb9-hlqdA4dmejo35JYYxcrsowcfLWof7s11O5K6QgNPWxaBAkalve9F0rvfH0eJE-ZBTgjrDF-ik6SssTpxq9tmecZIJIn9KCGUQhZZI1q0IoIj7xWp5swqzc6MMnBg5b3lD2b2qgOGB
Clyde&Co,3.4,CRM Insight Analyst,Singapore,NA,"Work with specialist BD teams to analyse and report on their respective data sets to illustrate performance and trends and inform future tactics Identify data quality issues and work with respective teams to implement remedial plans for future accuracy; track and drive these remedial plans Pr oactively drive a data use culture across APAC through dialogue with department members Work with the Business Development team to support the BD global leadership department in the compilation and presentation of BD program performance reports for global and regional boards (and other business areas as required) Learn the strategy and tactics of the global department and specialist teams to ensure data insight is complimentary and focused. Actively promote the utilisation of InterAction as a single, centralised source of client and target contact data across the region Ensure secretaries, fee earners and other users of the system have a high level of awareness of data integrity requirements Work closely with the Central CRM team and business development managers to ensure the system supports business development initiatives / activities across the region. Improve the overall quality of the region's contact data by reducing stagnant, duplicated and bad/incomplete contact records Work with secretaries and fee earners to clean their InterAction contact list, ensure their business contacts are shared to the firm, are accurate and are receiving the relevant firm updates or event invites Facilitate the data quality developing process and administering contact updates with fee earners and support staff, by way of running bounce-back reports and recording subscribe/ unsubscribe requests. Work with the BD team in the events process which involves building targeted client mailing lists, preparing invitations and processing RSVPs Ensure database system use for BD initiatives and activities are aligned to best practice Run ad hoc reports as requested by users and team members Regularly communicate with system users on updates, best practices and useful functionalities of the system Seek feedback from partners on delivery of benefits of the database and communicate to the CRM team Continually educate users (fee earners, secretaries, BD, Mktg, etc) of their responsibilities as end users, ensuring any useful feedbacks are communicated to relevant parties. Work with the IA global team, IT support and system engineers in relation to any major application upgrades or system enhancements. Strong overall data analytics capability Solid understanding of data modelling and relationship schema Experience with reporting visualisation tools, preferably the use of DAX through Microsoft Power BI, however other platforms such as Tableau would also be advantageous Use of Elite 3E or SSRS reporting Experience of working with CRM data to build reports on customer/client relations Stro n g knowledge of marketing data including Email Marketing, Web Analytics and Social Media Engagement Basic understanding of Microsoft Azure Data Lake A passionate, data-driven mindset with a strong desire to increase capabilities Strong organisational and project management skills The ability to work under pressure and to tight time frames The ability to understand complex management information Strong attention to detail Proactive team player Strong verbal and written communication skills Adept ability to quickly learn and navigate new systems / software An interest in MI, digital marketing and CRM. Local law Joint venture also in place",https://www.glassdoor.sg/partner/jobListing.htm?pos=202&ao=1136043&s=58&guid=000001877675ea36bef7552960135530&src=GD_JOB_AD&t=SR&vt=w&cs=1_233ef3c3&cb=1681319652042&jobListingId=1008472370370&jrtk=3-0-1gtr7bqirjorn801-1gtr7bqjlgsrb800-527f0abf6160c2d6-
LATHAM & WATKINS LLP,4.3,Conflicts Reporting Analyst,Singapore,5000 - 8000,"Explaining to attorneys the meaning of data contained in the conflicts report as needed.
 Handling complex and special requests involving conflict-related issues.
 Researching and retrieving client/matter intake forms, new matter memos, accountant�s letters, engagement letters, waiver letters and other essential documents needed for the resolution of the conflict check. Responding to questions from attorneys and staff regarding these documents.
 Updating and inputting data into the Conflicts Database; spots and corrects errors; researches internal and external information resources to confirm the accuracy of the information.
 Have advanced ability to perceive and analyze problems and develop alternative strategies to solve them.
 Demonstrate the ability to work in a team environment with a customer service focus
 Display strong organizational skills needed to manage time well, prioritize effectively, and handle multiple deadlines; ability to handle multiple projects simultaneously
 A Bachelor�s degree - Four (4) years relevant experience may be considered in lieu of Bachelor�s degree.
 A Paralegal Certificate, Master�s of Library Science degree or its equivalent, or J.D. degree is preferred.
 Three (3) years relevant library, paralegal experience performing research functions, or related law firm experience (desired). A J.D. degree may be considered in lieu of related law firm experience.",https://www.glassdoor.sg/partner/jobListing.htm?pos=201&ao=1110586&s=58&guid=000001877675ea36bef7552960135530&src=GD_JOB_AD&t=SR&vt=w&cs=1_40730e6e&cb=1681319652042&jobListingId=1008533234950&cpc=AC285F3A3ECA6BB0&jrtk=3-0-1gtr7bqirjorn801-1gtr7bqjlgsrb800-0b6c9f3e8bce29c8--6NYlbfkN0DDngqMaf0VkHGuTUEdQzD8rifzbXva63y-SEiSuTkhE7b-S8tH-bNSG6IhsDkCTPppUvgQhBBQlsnV_DkY5I1D5QkPuiqbTyDIx-T75x1soQjFw5WrIMRHIu5iXZU03hG8peywoiZMWq4gILXERUMDtk5woRJtNSqPTgH1iNNpDllg29L-VA4ZjaLjaUoH--81iiuo0qT5xBXlZPx0EMp4RXiU3WgDa_LwXu4_935t21qBC44NFgglsNxl3Se1o3Fn0fVnl8pr8oNY7ZXoGf2yTc92TBu1BLwZ61ydNufqNyP7w2CyouwmlzaNTJiFe4FwsT1UAjtgPs9HMuBINuGnXsOcqmlLR0gcGLgtxWeikLGB4hH-WNxOTCbog5FTeZbyhon7dUw6du-6PAfQgYz6Mt4ELIHZi9hHFtMwjWW4lGKkLaZx0E7Vk-HMWEa4rboGcWVKI152Rqiv9heGD0Fm1JbIshLFO1TRprwEl90l8QzfnWG8NDTzKIKa9AfA6N4OVt6wvyqoMp_cT1LBKqFjTycZy_VXpAaW-MBOZUd9xh0zbz3pfIYpa84COmYU2o71gxwiglgYqh-6oYb4JN3iz0NPppdhNGdu7kwUgJFVMiEv2ZLxhOfuTFHlgXO7OTdK9gDESERwj0QHv7MTRrtY4kfYxCJFnBmV2t1Ks2mZE0mPZOeyi8Q9BPb9bF41RuflRU8Zx_pFgBUcdONCUy0Yw9DjutOnRadacy9xTmZdX-Ea3EICErg5323XQIy153atB-GI7-FseOdZaluSmjdmYW_iBSUfK1RXeqfG_k37hy4qJGsO-k15
Lincoln Talent Pte Ltd,4.0,Quantitative Researcher,Singapore,120000 - 160000,Design and develop machine learning and deep learning quantitative research framework. Analyze and report the strategies backtesting results with production environment parameterizations. Design the rapid turnaround methodologies from research to production. Dealing with strategy production issues. Communicate with PM and senior researchers to ensure the best research practices. Excellent C++ and Python programming skills Deep understanding of data structures and algorithms Experienced in machine learning and deep learning research and development Minimum of 2+ years quantitative trading experiences,https://www.glassdoor.sg/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000187767672238bcf5969ae6a4921&src=GD_JOB_AD&t=SR&vt=w&cs=1_511acf14&cb=1681319686827&jobListingId=1008532309955&cpc=6FC5BA77C9A4CD78&jrtk=3-0-1gtr7csijmbjd801-1gtr7csjhg4e9800-d2158d611f87d2a2--6NYlbfkN0Bj-xBWVmzs7UIwFa-9Zm6MwNuQFkwLehssDYDaWnvIcfxFi3KwdKCatQ2dpK-J8phi_tVj4WQW_8WyabawHIZlwhFXr0PAcoC-z8DUqPCsmBVeDEuDOl7DHWC0SZyFxX7nrjA5GLcVrhvRYrScIx0yaf0Ipo-tTOG1SBqaa_EngG90Br5NzCZZGRktbJ4oSfBZ1cI5FknG2tZsQX63ZeOtWSfUBiWXmDkQ-nuxQR640GWghMiRT4TfZgoMgcpM1zVusIRtYbtNtsLUGnD4HDf3IR_uTvtdc-q83a3hkRGR-VE6SEl0sTn2kxpUqiybdwkUokJA18i-77zxtmzsm-J7k7WObN8kNdbsZB6O4hBC3kQfexvC88mtAM-lS90IX80p7eE70PkycM4x3COeDwULI6eSP6PIbMRuuIg5469iXWWFMF0PlkjSDi_yb-WyiUHjNqe4WT5OlxeKdu2HNsZKPboxKZOkOPkPVmvc8Gz6OQkBeNF0TOdOywGAhmIpiYNKxD0MWV9wfcJth6lmD3SoXvSfp6rVh5B00KfH6f8AGG_gS9BAetKD7nsnz-BLFyacg8tSDaazNaNJAiJnaaJlOb5mEVZ9_BxMPpr_Ob0GYKNU4OQS-99d9MPfhJr5yngNdWmlzYi6onLwH2M8UB6iOSNESduLu22wkLSs_4zqHKdax8GpcRfaxEbSeDDxDD2WbmhHXzd-A0ktQY4tq74o68jWfWnCgag%3D
Lincoln Talent Pte Ltd,4.0,Quantitative Researcher,Singapore,120000 - 160000,Design and develop machine learning and deep learning quantitative research framework. Analyze and report the strategies backtesting results with production environment parameterizations. Design the rapid turnaround methodologies from research to production. Dealing with strategy production issues. Communicate with PM and senior researchers to ensure the best research practices. Excellent C++ and Python programming skills Deep understanding of data structures and algorithms Experienced in machine learning and deep learning research and development Minimum of 2+ years quantitative trading experiences,https://www.glassdoor.sg/partner/jobListing.htm?pos=201&ao=1110586&s=58&guid=0000018776767fddad39d555b0452474&src=GD_JOB_AD&t=SR&vt=w&cs=1_c342e30b&cb=1681319691071&jobListingId=1008532309955&cpc=6FC5BA77C9A4CD78&jrtk=3-0-1gtr7d0dukuhl801-1gtr7d0esgfrl801-d2158d611f87d2a2--6NYlbfkN0Bj-xBWVmzs7UIwFa-9Zm6MwNuQFkwLehssDYDaWnvIcfxFi3KwdKCatQ2dpK-J8phi_tVj4WQW_8WyabawHIZlwhFXr0PAcoC-z8DUqPCsmBVeDEuDOl7DHWC0SZyFxX7nrjA5GLcVrhvRYrScIx0yaf0Ipo-tTOG1SBqaa_EngBWbdEww4_GcxakFDJIz77rtse-qlqpTSI-dWZXe_avqRMYn718l7Y9c881fk5hQCV2L5n0jVu74jk4sK1tI4klRbmmrSbfRXDFrZptrJi0TKekowquG82XMEiOHWhly3TprNQd0Kzn-rgf0T7CarkqveWrBxp88QcFXiP9mRkcAle6p-_RJCLA4FAXaJmGyaEYFj0X2sM3-RqvPOdgdj0M0ph9ovXebmdJptmYbV-H8DbpZj97iU6HmS84bxsbteNeNm8Ze5qBgCD9kyG3QMnN4R2tYXEy-cuQjb7RriuOq-7JS5WDfvNYeDQWSZ6QU6Q6m_usG_jFrRehfULgcNK973oslpzRwSZPmZMjvRvOvkm9OnpKE8BQqfmnk_APJRguruqol4gUvmtUXD_2AcaX799_G0O6-9a1ayLueLu65E1XG75YAz8dHF7uZjADCXyzh1MOjq-JSdg5n_Z7XIxc4WTzaYdkw88cS0VeGewbvSgYIt9qlquu7Xs_UR_Ba_qngLmf0XZ-QM5o7vXb9xBs-nUrbUqCtJWJ3CEX6PosfMm8BtLk5-Ps%3D
Science Centre Board,4.0,"Digital Experience Officer, Digital Marketing & Data Analytics",Jurong East New Town,4000,Bachelor's or equivalent (Preferred),https://www.glassdoor.sg/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001877676939984231d8fecb96b54&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9ca67e36&cb=1681319695451&jobListingId=1008486752202&jrtk=3-0-1gtr7d4tombin801-1gtr7d4ukgspj800-0bc2262ed8644a76-
Science Centre Board,4.0,"Digital Experience Officer, Digital Experience & Data Analytics",Singapore,48000 - 72000,"What the role is
undefined
What you will be working on
undefined
What we are looking for
undefined
Competencies have long been used as a framework to help focus employees' behaviour on things that matter most and help us drive success. We are looking for candidates with the following competencies:Show more Report",https://www.glassdoor.sg/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001877676939984231d8fecb96b54&src=GD_JOB_AD&t=SR&vt=w&cs=1_5bf2991e&cb=1681319695451&jobListingId=1008316112253&jrtk=3-0-1gtr7d4tombin801-1gtr7d4ukgspj800-e60ee3c57e3ea9a9-
Science Centre Singapore,4.0,"Digital Experience Officer, Digital Marketing & Data Analytics",Jurong East New Town,35000 - 78000,"Recommend AI and Automation Strategy technologies/solutions to enhance our guests� experience. Work with key department to gather business and technical requirements, review design plans for feasibility, practicability and assess budget and completion timeframe. Analyse the customer relationship and loyalty data. Work with different departments to create relevant content product and bundles to be communicated to the target audience Work with different stakeholders to create relevant content product and bundles to reach out to the target audience. Conduct feasibility studies on new technology and projects with stakeholders Assist in conceptualising customer journey and desired outcomes Plan for product life cycles. 
Download and complete the Job Application Form 
Complete the form, and either post it to the address below or email it to hr@science.edu.sg (with accompanying image)",https://www.glassdoor.sg/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001877676939984231d8fecb96b54&src=GD_JOB_AD&t=SR&vt=w&cs=1_dadde711&cb=1681319695451&jobListingId=1008579335669&jrtk=3-0-1gtr7d4tombin801-1gtr7d4ukgspj800-5720705ab8cc9158-
Science Centre Board,4.0,"Digital Experience Officer, Digital Experience & Data Analytics",Singapore,48000 - 72000,"What the role is
undefined
What you will be working on
undefined
What we are looking for
undefined
Competencies have long been used as a framework to help focus employees' behaviour on things that matter most and help us drive success. We are looking for candidates with the following competencies:Show more Report",https://www.glassdoor.sg/partner/jobListing.htm?pos=202&ao=1136043&s=58&guid=000001877676b083901a4dbd56d9a8c1&src=GD_JOB_AD&t=SR&vt=w&cs=1_1773756e&cb=1681319702888&jobListingId=1008316112253&jrtk=3-0-1gtr7dc7cjrr8801-1gtr7dc8621v3000-e60ee3c57e3ea9a9-
