companyName,company_starRating,company_offeredRole,company_roleLocation,company_salary,listing_jobDesc,requested_url
CONSUMER JOURNEYS PTE. LTD.,NA,Data Scientist,Singapore,4000 - 8000,"Work with business stakeholders to translate opportunities and problem statements into analytical use cases
 Work on customer behaviour analysis to uncover insights related to financial & lifestyle services
 Manage and develop always-on automated campaigns via real-time triggers and events detection
 Ongoing optimization on campaign targeting and refinement on signal & trigger logics
 Continuous exploration & research on internal and external data sources to sharpen the targeting
 Building machine learning models to support campaign activities, eg: uplifting model, propensity models and etc
 Good degree in engineering, science, applied mathematics, statistics, machine learning, or a related quantitative field.
 Minimum 1 year experience in relevant field or fresh graduate with exceptional background
 Proficient in Python and SQL
 Well-versed in statistics and data science
 Familiar with statistical modelling and data visualization
",https://www.glassdoor.sg/partner/jobListing.htm?pos=116&ao=1110586&s=58&guid=000001870c41d706a07e6b94bccf50e5&src=GD_JOB_AD&t=SR&vt=w&cs=1_43a77f70&cb=1679537854591&jobListingId=1008518282856&cpc=AC285F3A3ECA6BB0&jrtk=3-0-1gs643lpp2pv1001-1gs643lqf21v2000-6d8cc735728a0b59--6NYlbfkN0DDngqMaf0VkHGuTUEdQzD8rifzbXva63y-SEiSuTkhEyLrw75V5etFArisuH_o37FdOm0JynZdNXTGOT5Q2mWKGn4Tiei04qU7gSTW0v9oN1JQdB4n3eB64shEenhPL-YSbB9TQCH41eSL3hCE3WCjv4AWAE2Ei3xTqQL4D5s85N8LsNZzVK7Cu12pSizN8Rkzv_LFc9f-BlkeBrf1cccY_NA3gm31gY5SViQRRAcNw8RHNtencVHXjf-1DcJF5rCO9eOasWQxoHwuvro3QWIQbrJ8h_fCudYrGpRumaljHnKiw7smeEUyXvBLIsE0faoVO0ifRZN7XGYAevNXDsVk8F8E9b9b8B3T1xq60WBGTXALzHzreHnXku8hLeneqi904GdauaSJbvsL769_hnbfDs7vwZjbUDuGlYBtu9RlgrP1UCDIMVUVq8LOJtShHL0IK6IdO8A2kM8oeaemwcz4J56UL4HWUaZnGJYT08WTAW1zwSPGq_KAO8ffY6GKr-TxRjJAeigisbPmUOVIahmT0hKUDsn0rMSlztv3b9Mv3ksCYEJQwFU1m3a88rcNxNmH8ogC2aBTUiT6PezRYfLi5DR3UUEx2wsNx08QmfVFpbN7q7gdm3EmDH8AjNuY1X_pQf2dv-V_hwXfXr5hOhMHkY_momnyTNiydiD3LzilTOBYcKbqhSDNo5jrYn48qa35AZ-jlFARVYKYWYSt9by95x34pY1HIzSa6oLeQhQv8BZPRdD0opsr-ZoNOn0731S6VJwQu0cYAv1W9gq8BmxubiraKRuLsdEuD7YjtdtATA%3D%3D
GVT Government Technology Agency (GovTech),4.0,Data Scientist (CDO Office),Singapore,NA,"Facilitate discussions with stakeholders to understand their business challenges, sharpen the business use cases and translate them into data science projects
 Perform data cleaning, pre-processing, feature engineering, and build data science models to address the use case
 Depending on the use case, design of dashboards and interactive visualisations as tools for data exploration and storytelling may be expected
 Present findings, solicit feedback and prioritise refinements to the analysis in close iteration with stakeholders while managing overall project timeline
 Communicate the data insights in a clear and compelling narrative, supported with impactful visuals, to influence key decision makers
 Disciplines in Data Science, Computer Science, Statistics, Economics, Quantitative Social Science, or related qualifications. We will also factor in relevant certifications (e.g. Coursera)
 Minimum 4 years of experience working in public sector or data science field
 Knowledgeable in data science techniques and concepts, with sound understanding of their potentials and limitations when applied to business use cases
 Familiar with machine learning frameworks such as PyTorch, TensorFlow, and scikit-learn
 Experience in a production environment where models are deployed is a bonus.
 Experience in leading data science projects
 Training and relevant experience im Data science tools that uses Python (proficiency in R is a bonus) and Tableau for visual analytics (proficiency in Qlik and PowerBI is a bonus)
 Subject to the nature of your job role that might require you to be onsite during fixed hours",https://www.glassdoor.sg/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001870c41d706a07e6b94bccf50e5&src=GD_JOB_AD&t=SR&vt=w&cs=1_23a55425&cb=1679537854590&jobListingId=1007478192423&cpc=FD1C1DA32C38CFA7&jrtk=3-0-1gs643lpp2pv1001-1gs643lqf21v2000-5b7c9cba3f338d62--6NYlbfkN0Adkj6z9PX5rd-1m12nzK_B6D4VjQGLpPuzUSV8YUmxKtSp99Izr6E6NRb6n83TkDVcd4wtkTsJYiv1OHJMok4AVYf_B4uk4qnmwMBm77fuO1vAMEn44ERj1aiQc-atSZ-EfC0olwBNf0SP3_4X4H4GZ_jhGO9pxY8S1aVaOgrlDajArn_9UAQw5DiFN34CGlb0HBqPYOnSYyXAjdC37LwrVfiCxf1212xp8-QRaeQL7CZT-lUPq6g4SehV4pvg2xDFZMvR_isD8vAfadvquo487MEjMcoebq_td-NUXobCP9vUngiNcZbeNN8jd3d3cGR0OvDJcZDSgVblPrZf-Rh2Ku6ti-ecgRHE8HhX1B0AKzw4kwuZe1BA9miW_VDCDRBV17m8F41-pxXvj35yulzZknHmUdqJlq59-m2VHPxaZW5US2lplq71fZIotlnmPCZ51yI8fhSvIZAyWLuPKxGYRyV2E-t97_SmBy7oTfcbJZjW825f4VYTWvZ8jQxfDDj6sUUFjspx0YQb497CcxUAu6Sg8ArCFPOORFr_ceDpPLYjWwK8Rc9rr4Km09PObi9zm22knrZizID9W7WUnhOXGoMirtgAd7LXXkvVd0Ap9PDoTJA4Ove5lqKUZ_nZF0-1_WP3bB5427LYNE9fXcKOvgKs4YvFQXNEEu-MSWPMkCzmkAssUWzmpfyTBqIN4Dlrdj2JHEHNH134H27qLJvb8rEkKhcwhGzv0tp8MRjCEA%3D%3D
Cynapse,3.8,Senior/Lead Vision AI Developer and Researcher,Queenstown Estate,5000 - 9000,"Develop advanced video/image analytics technologies using both Computer Vision Algos and advanced ML/DNN Participate/lead research activities in the areas of Machine Learning, Computer Vision, Edge AI, Inference Optimiation, Sensor Fusion etc. Participate/lead system design activities, prototyping and testing Follow and contribute to software development best practices At least a Bachelor Degree in computer science/engineering/data science or similar Preferably a Master/PHD degree specializing in Computer Vision or Machine Learning At least 3 years of experience in developing Vision AI applications, i.e. advanced Vision AI pipeline, Complex object detection & classification, object and scene segmentation, advanced computer vision algos etc. At least 3 years of experience with ML/DNN in at least one of the following frameworks: Tensorflow, Caffé, PyTorch At least 3 years of experience with OpenCV development At least 3 years of experience with C++ development Innovative, motivated and a quick learner Ability to lead a small team and take end-to-end ownership of problems and their resolution Ability to act as the subject matter expert in a team/group Attention to detail, curiosity, and passion for technology Competitive base salary and a generous stock option package Unique opportunity to work with a talented global team on cutting edge technologies informal and exciting work environment with flexible hours Additional leave Health insurance Professional development Monday to Friday 13th month salary Performance bonus",https://www.glassdoor.sg/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001870c41d706a07e6b94bccf50e5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3e9aa0ff&cb=1679537854590&jobListingId=1008194508399&cpc=8A48E7D5890B96AC&jrtk=3-0-1gs643lpp2pv1001-1gs643lqf21v2000-b6bf35148403665b--6NYlbfkN0DsnLiqAkzjEOuttT1FqqXj3UKK-cxoENRXb_k6ETglwN1WKvclzyxgNfbYMCdrCMS3VDuYlVVr01cM1SqAHvd6SUT9bUI5qWsINfoRKLIH5ezdX8lXQzj0Y2wGq1vo_mviGC_Hf1u5fRb1vwIrbV3WEUFupvObtG-M6KfsyB5z2v3pQDEaLJB6b7eXPdGfvCZ2GesDSJtDfkegpSJK_-MuELK3Mlz5-V46wloQhKTvWhxosMRvqm1BiPujFeiUb6Qg1L-DyVXxDdETHpuGCaNTA1amzyXymfh3XQ2dEHVqWj_2bNZiumIZRZe-W54un3TVJFFmfhRE6Brm4Pa3F2-jhu9eqAwuKvhx4MKcmSIsNZ0mSaFFXN3gZGWqhUQS1MwVVFeoJeAZz1QP1Raz_a5zxWu-CBzpsyYxeWGfk9FI13B5HW4gcpd5f7cDgw0LkzfUnlTer8y4BOZTsqZqsVznC4PaGmdIo6a4cmKA35bh1m-puzC0oV6fAeYHPrD3wM7JOttGTOi_36FXm_vhBwVuPx48_8JrNshSaByEKQGN9mqv483DAiy7BlkaTwe82y_cFjU3bumksibsYNTGgpCQDezYvBUrUccIRKSscyvwDQ%3D%3D
United Overseas Bank Ltd,3.4,"VP, Data Scientist",Singapore,40000 - 56000,"Design analytical solutions/experiments to solve various strategic business problems through engagement and research. Building and deploying Machine Learning Algorithms, Advanced Analytics, and Data Visualization across the UOB group and region. Support the Enterprise Data Architecture and Governance Program in developing and transforming the Analytics Capabilities across the group. Partnering with assigned teams and/or business units to provide deep expertise and advisory on advanced data analytics needs. Strong knowledge of data and analytics architecture to ensure analytics objectives are aligned to business priorities on the Data Analytics Transformation Program. Drive Innovation initiatives under CDO guidance and directives. Min Bachelor/Postgraduate in Statistics, Mathematics, Engineering , Computer Science or a related field. Min 5 years advanced analytics working experience in banking / financial services / consulting industry. Possess a strong selection of skills and experience with analytical frameworks and languages such as SQL, R, Python, Spark, Hive and other Hadoop-based languages. Possess a strong ability to query and use large, robust data sets across traditional Data Warehouse and Hadoop platforms. An analytical mind and team player with demonstrated ability to build strong partnerships by applying quantitative techniques to solve business problems. A strong communicator, with clear articulation of analytical findings through presentations. Experience with data visualization packages and/or tools will be a plus. Innovative and Agile thinking – experience with Test and Learn Frameworks desirable.",https://www.glassdoor.sg/partner/jobListing.htm?pos=120&ao=1136043&s=58&guid=000001870c41d706a07e6b94bccf50e5&src=GD_JOB_AD&t=SR&vt=w&cs=1_522af861&cb=1679537854591&jobListingId=1008540488369&jrtk=3-0-1gs643lpp2pv1001-1gs643lqf21v2000-e46313ac1a266760-
GECO Asia,4.5,Data Analyst / Data Science,Jurong West New Town,38000 - 58000,"
Bachelor's or Master's degree in Computer Science, Statistics, or a related field. 
At least 3 years of experience in data analytics, preferably in a large-scale organization. 
Strong analytical skills with experience in statistical analysis, data visualization, and data mining. 
Proficiency in SQL, Python, R, or other programming languages used in data analytics. 
Excellent communication skills, both written and verbal, with the ability to effectively communicate insights to stakeholders. 
Analyze large and complex data sets using statistical methods to identify trends and insights. 
Develop and implement data analysis models to provide insights to various stakeholders. 
Work with cross-functional teams to define requirements, identify data sources, and ensure data accuracy. 
Develop and maintain dashboards and reports to communicate insights to key stakeholders. 
Stay up-to-date with the latest industry trends and best practices in data analytics.",https://www.glassdoor.sg/partner/jobListing.htm?pos=114&ao=1136043&s=58&guid=000001870c41d706a07e6b94bccf50e5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2c71d232&cb=1679537854591&jobListingId=1008540828294&jrtk=3-0-1gs643lpp2pv1001-1gs643lqf21v2000-fa2d22dbbd73aacd-
Johnson & Johnson,4.2,Data Science Manager,Singapore,NA,"Research and implement statistical and ML models for predictive analysis and decision support
 Collaborate with technology, engineering and Finance process teams
 Keep up-to-date with latest technology trends in the space of data analytics and data science
 Ownership, prioritization and briefing for projects of varying length and complexity
 Advocate and facilitate the use of data and data science methods across the finance organization
 Communicate results and ideas to key decision makers and explain complex models in a simple manner to stakeholders
 Monitor end to end integration of data science models from data gathering, data cleaning, production and integration with user systems and tools
 Monitor models for performance, develop checks against drifting and continuously improve the existing models
 Balance long term strategic priorities with short term tactical needs
 Bachelors/Master’s in Statistics, Mathematics, Computer Science, Business Analytics, Finance or any quantitative discipline
 Ability to lead data scientists, provide them with meaningful feedback and support
 Experience working on Data Science projects from initiation through POC to production
 Knowledge of Big Data, Data Integration, Machine Learning, intermediate level of Software Development and Automation skills
 Must have a strong commercial focus, a solid background in statistics, data science and managerial experience with machine learning
 Experience in working with data science cloud platforms AWS, Azure, Domino etc.
 Knowledge of Alteryx, Tableau, Rshiny
 Good to have an understanding of ETL tools like Informatica, Talend etc.
 Experience in handling time series data and univariate and multivariate forecasting techniques
 Experience is using variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.)
 Experience in advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.)
 Good to have data science experience in finance division
 Good knowledge around risk management, compliance adherence and commitments",https://www.glassdoor.sg/partner/jobListing.htm?pos=124&ao=1136043&s=58&guid=000001870c41d706a07e6b94bccf50e5&src=GD_JOB_AD&t=SR&vt=w&cs=1_e05dfc89&cb=1679537854592&jobListingId=1008530438844&jrtk=3-0-1gs643lpp2pv1001-1gs643lqf21v2000-45cc272724648680-
GVT Government Technology Agency (GovTech),4.0,"Data Scientist, Quantitative Strategy",Singapore,NA,"Facilitate discussions with stakeholders to understand their business challenges, sharpen the business use cases and translate them into data science projects.
 Perform data cleaning, pre-processing, feature engineering, and build data science models to address the use case.
 Present findings, solicit feedback and prioritise refinements to the analysis in close iteration with stakeholders while managing overall project timeline.
 Communicate the data insights in a clear and compelling narrative, supported with impactful visuals, to influence key decision makers.
 Depending on the use case, design of dashboards and interactive visualisations as tools for data exploration and storytelling may be expected.
 Opportunities to be deployed to another government agency as the core data science team for a sustained period of 2-3 years, to build up data science capabilities at the agency. This will involve formulating and implementing strategies to build strong pipeline of impactful projects at the agency and executing these projects.
 A Bachelor's Degree or higher in Data Science, Computer Science, Statistics, Economics, Quantitative Social Science, or related disciplines. We will also factor in relevant certifications (e.g., Coursera).
 At least 2 years of relevant experience, in data science and/or public sector.
 Capable of translating business use cases into analytical problems, and identifying appropriate data sources to tackle these problems.
 Proficient in writing scripts for data preparation and analysis, using modern analysis tools & programming methodologies.
 Proficient cleaning, imputing and correcting anomalies in the collected structured or unstructured data to ensure a high standard of quality in data sets to be used in the analysis work.
 Proficient in exploring and analysing datasets, applying probability and statistical methodologies and techniques to discover insights from the data.
 Proficient in building machine learning models to identify, recognise patterns and make predictions.
 Proficient in design principles and use of visualisations to best convey the intended information.
 Capable of developing data visualisation from standalone graphs and charts on to highly customised tools and apps while tightly integrated to the data systems for real time visualisation of information.
 Capable of translating results from analysis work into actionable recommendations for stakeholders.
 Capable of communicating results from analysis work in a coherent data story for stakeholders.
 Experience in model deployment
 Experience in stakeholder management
 Experience in agile project management
 Experience in developing capability in others
",https://www.glassdoor.sg/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001870c41d706a07e6b94bccf50e5&src=GD_JOB_AD&t=SR&vt=w&cs=1_9e9c6ef9&cb=1679537854590&jobListingId=1007931407611&cpc=B101C867B3EF2D75&jrtk=3-0-1gs643lpp2pv1001-1gs643lqf21v2000-ec1c0b6077a135bb--6NYlbfkN0Adkj6z9PX5rd-1m12nzK_B6D4VjQGLpPuzUSV8YUmxKtSp99Izr6E6NRb6n83TkDWgsiviX3uwrKqLQLGtNeojmxzN3y1cU3YbXQpgu3YdwKKiwDYeSvgQL2LympsADIkYKDUS5FnPjs6L-OvOim4U4YdTuA2wru2iW3BRkkx-WOPol8oXhUxao_GqCn4HfXQHvZYANDbPRsQbaHsaf196FrZvdey58x0Y5NuE2cKTjaVSqE9icyoSsTy9Rvu6cEZ3eeqNQY_IwXEjhdWXiWkdT7F4FgxecnV2WwmPOKuZkWXY2wc7YM7TATpGYlg9lLpso5EYagcvcJfLaA0Dv8t9h8_MtCxjyfF8LXLiYib4eMOLuTt_fQsDqZMLP-ecLEwqYpJedaF6dJuf1M7tXu7AzOEljEClXNfonYdOV8iP9JOORdRoEppiLUg_kBdGqruWG_5zufLal_Y65AFDSydlZxrcrwRZUa42ozAuFzGl4KuWP63G0J2dJ4aakXcDogpgD9phGAijmNsRW0VNvoZAs0viMC4pV6zpUrHxKq9oGE7TzJ18TkLvCCbb65hA6VcVQlEbnYtb1TwYJc4js2NbsER-BTmOZ-r8ZMKXNbwjCJ98nQKzlLtzuJ0RmYto58L_nR7g_eD49QxbHd1GwQlJJBT1njcRBOiJD0ab5DSc5ERa94GP4YbgrJ4UgszPHW8%3D
MALAYAN BANKING BERHAD,3.9,Junior Data Scientist,Singapore,5000 - 8000,"Responsible to enhance risk assessment and portfolio management techniques of the retail credit segment via the use of advanced analytics and machine learning.
 Support oversight of the retail portfolio in terms of risk-return and risk undertaking where data-driven approach is employed.
 Propose new risk management strategies as well as improve on existing strategies via evidence-based analytics.
 Provide assurance on the soundness of credit risk models employed in the retail credit space by pragmatically challenging and managing existing models.
 Employ data-driven metrics to enhance credit policy rules and underwriting standards in line with supporting business growth.
 Develop metrics and measures for measurement of current retail operations.
 Propose process and operations improvements in line with enhancing retail customer experience.
 Degree or MS or PhD in Data Science, Actuarial Studies, Artificial Intelligence, Applied Math, Computer Science, Engineering or any other related computational or quantitative discipline from a recognized University.
 Quantitative analysis background with 3 to 5 years of experience using data, statistical learning and machine learning techniques to solve problems and effectively answer pressing business questions.
 Highly capable of capturing business requirements and translating into technical specifications, and strong project and people management skills, and ability to manage teams in an Agile manner is an added advantage.
 Experience building production grade analytics pipelines comprising of extract, transform, load routines, model deployment, automated model monitoring, also excellent communication and presentation skills, with ability to clearly and effectively communicate complex analytical and technical content to a less-technical business-savvy audience.
 SQL, with ability to write complex queries spanning over multiple databases and foreign keys, based on a simple high-level brief and competent with programming languages e.g. Python, R, Julia, C or C++ for and data manipulation, data cleaning, data engineering and model development or machine learning.
 Experience with business intelligence and visualization tools e.g. Tableau, Qlikview, Microsoft Power BI, etc. is an added advantage.
 Familiarity with machine-learning frameworks such as TensorFlow, Keras, PyTorch and libraries is an added advantage, also exposure to retail credit business is an added advantage.",https://www.glassdoor.sg/partner/jobListing.htm?pos=129&ao=1110586&s=58&guid=000001870c41d706a07e6b94bccf50e5&src=GD_JOB_AD&t=SR&vt=w&cs=1_62a78c0a&cb=1679537854592&jobListingId=1008526041134&cpc=AC285F3A3ECA6BB0&jrtk=3-0-1gs643lpp2pv1001-1gs643lqf21v2000-f0f6d7fd783b10e3--6NYlbfkN0DDngqMaf0VkHGuTUEdQzD8rifzbXva63y-SEiSuTkhEyLrw75V5etFArisuH_o37HP8syDIXLbWIWNNxlpIWPsb205lzVCipjN84O1A8mtRAD_c1ccsHSWUZQU7UFOQc5vSnjm2zQDsa9NRX-NCbxcpj29XUlPno6HagTcSksOyoU9A7Z9_PdNcC0cvbUFDeDCUBMxpd52_5AO2piX_UFS5NpzzO5xrPU5EBFVoUMe4HmWuHUMv0gNk8CfvfLTQ8yCeg7KgPSjmbvuk4pOoQaCbeZCQmbU78ZkBj1h4v7z0DSpOD7m_eH5KzTrt8wBW7fEecTGmdCG00C9aMWcCjWuv1O4fqf81WIOzjR9izD_pxifMwNePtKDuW_lhT39T8PmPeRuTLR0gW5KG1jKBW5V7YZV7iYmwxlJFuVCLiPFprJgMPs_652_EAhfqHxfDwfA6qjExSeaVMREMId6Sz-0UxADUgbFXaTnjoeaO8ZoLdT6a0YXgxzF9u5fLf_vjKbLfQA4Rd5BqBFzjlcdmv4becg8zhjXrvB9_EZf4Unriw0WMxRpIatjbIE5Ov537bJSGJZcnpzUZg0G_-uDpc6c1G59hju6FeYFoDUA68ADhPbV6sRMTOiVPofYmmBTglqJj0qPkcTPbzGvR8JloXf9A8cybVJ_6qAjgfS6blTYpcTRkrR18JnMsDTnS4-OEU8BxdzAYLUWega7QheYXfbJYhvpHNNu3wMlzUz_F_ouelxuz3Gjto9OMtknZs3VPd7z6_jme_u6rhzA20vmPYOuBrU4fYv1V6FY8IfBBgf6VIHjCh2fCTAk
GATEWAY SEARCH PTE. LTD.,4.1,Data Scientist (Transportation),Singapore,9000 - 11000,"Design, develop and maintain models (machine learning / simulation) and optimization methods to support business and operational processes.
 Develop the pipelines to train, validate and deploy these models across various environments.
 Design product experiments and interpret the results yielding impactful conclusions.
 Perform statistical data analysis & visualization to find answers and new insights to important business questions.
 Participate in technical discussions across the team through code reviews, RFC or architecture review sessions.
 At least 2 years of experience working as a Data Scientist or an advanced (Masters, PhD) degree in a related field (computer science, statistics / mathematics, operations research, economics, etc).
 Strong knowledge of data science fundamentals and statistics, with experience in data analysis, modelling (machine learning / simulation) and optimization methods such as linear programming.
 Good understanding of experimental design and methodologies such as A/B testing or multiarm bandits.
 Experience with modern software development practices: version control, refactoring, unit tests.
 Proficient in Python or R, SQL (PostgreSQL preferred).
 Experience applying data science in end-to-end production use cases: from data cleaning, feature engineering through to model training and inference.
",https://www.glassdoor.sg/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001870c41d706a07e6b94bccf50e5&src=GD_JOB_AD&t=SR&vt=w&cs=1_cb95114d&cb=1679537854590&jobListingId=1008535399307&cpc=AC285F3A3ECA6BB0&jrtk=3-0-1gs643lpp2pv1001-1gs643lqf21v2000-ffd57a018ff08b16--6NYlbfkN0DDngqMaf0VkHGuTUEdQzD8rifzbXva63y-SEiSuTkhEyLrw75V5etFArisuH_o37Enctm3V7SR0lVIN0rqOn8s2eX3bY686Y6zApOAUO5ROYEqiaF_Ifc09FFeYLtIWjJ3f-eBhoJz8x92gAx-oA3RTbbCfTR-YkxbHd5vzK2e3oho6FSZF-jjjMBvw3tFPbHCbX90puNm7ZE4JDd4LIfxPPzP_yCkys7dv4pSQnmnVEQPfM8EiO11YHt7I2HmnviipmNEBtwjFK74QGwYrnhvC1pY1UN_vB6Mx_bZurJGxEesiBLXMr_41g7DYr68WxmHUrfu8f0MhROk83kFyvjyEosf4SN7IitcVuRGmQBg8jgNOS3d-q1GuE7a4JPp7JlVN7fZgTx_o8wMNlMHxsKSg7NniGzAtnFYCNs0qK6DcvoMKUpMGEkcWdwpBXnej7ogKPf91It_4SsIFHRwDIIC1aBrp23j028EYSXt8pGH4tK_HGeu0-tdApFPmCmuL8v4Na4aC5IhNIvCSZ_v0IwWDELEQOtVrsZ0Z7B_KnFriwOYXRk6zbUMuYFrZzhcS-CVsDHg8JWVNlfBAhMUW6zmELhFg6CiHI_wrO2VOHEaP3YMs2Pfkd53dGHZt3I8VpU5-dXnsF89GgyhuZeSsSIvOMRHFcsnokm9HMhwhxNhy7E5AxVvB1EYokAgVgqvk_tmsWv_fVphXVIv8xP6-h48UWX06gJkrtqlbIasR8NIrZcb2yLiwN2lc_J-2Rx5NI8nCHSO0GSbdowjz5zC6d2qjY1UBV_N84waQbOHZeClKQ%3D%3D
KINGFISHER RECRUITMENT (SINGAPORE) PTE. LTD.,5.0,Data Scientist,Singapore,4000 - 5000,"Develop effective analytical and data science solutions to improve cluster-wide and institution specific healthcare milestones
 Collaborate and establish strong relationships with key stakeholders, programme and cross-functional teams and the management to prioritize information needs
 Assist in the development of analytical solutions such as data visualization, data modeling, data preparation, evaluation and deployment
 Translate clinical and operational needs into data-driven solutions
 Derive meaningful insights and foresight from large datasets and communicate meaningful insights from results of data analysis
 Perform data quality audits, data preparation and transformation, feature engineering as precursor to data model development
 Develop effective analytical and data science solutions to improve cluster-wide and institution specific healthcare milestones
 Collaborate and establish strong relationships with key stakeholders, programme and cross-functional teams and the management to prioritize information needs
 Assist in the development of analytical solutions such as data visualization, data modeling, data preparation, evaluation and deployment
 Translate clinical and operational needs into data-driven solutions
 Derive meaningful insights and foresight from large datasets and communicate meaningful insights from results of data analysis
 Perform data quality audits, data preparation and transformation, feature engineering as precursor to data model development
",https://www.glassdoor.sg/partner/jobListing.htm?pos=121&ao=1110586&s=58&guid=000001870c41d706a07e6b94bccf50e5&src=GD_JOB_AD&t=SR&vt=w&cs=1_bcad689d&cb=1679537854592&jobListingId=1008527231607&cpc=AC285F3A3ECA6BB0&jrtk=3-0-1gs643lpp2pv1001-1gs643lqf21v2000-9d93d078ceb88539--6NYlbfkN0DDngqMaf0VkHGuTUEdQzD8rifzbXva63y-SEiSuTkhEyLrw75V5etFArisuH_o37FSoIMs8JmNU7rEbnfgH3pjt7MNmn7WKDKyqvSZVaZYEclgUCsQZL3IQqfyGDExh3s79hV30-sbdO1Nng0XpK3RJvAb-aJNxscVkdZo-Aq3Go0-FCFY_lOP7T-c1jkPI5CKMEWXdlqPmlsFgG9Qa1Kn0mIE5ZBRy8CGVrt1YUh-dvspZyeSo44LBiV63aLwSwyd3vW76-PB3ZvtK48EN8utvLhhGbrOxA41t2U812n9Fj2-S7hiJ-DbBjpPIK3F80_fUJX_jMQtWaAtmQ_QF1l3Imn51wqyHy3U2Ii3lfBjO-YnZrFXuFykj6ziFoWTGaLWeOYkQYVQuZiasYyXqWk5AljnsoasbHnaTHZhPKFgOpwW3AwDUWPfhOJJ1K50rsls3DBL98EL03uHS-NoidkKAvzmA62UCEak0ve-z8aNtXMdCw8Zye3iVKrGamSUX0ZdifITAaE86e9yA5aGUfygGBXeQ_LKbzj2J5GpOP9LGhLiAc5kWJcTUr0vZoE_6anIY1vCYiNtzFhM3og8qmkVlcNsB2nS8xITnKMABzey8jq-ve9fTl4eubadDIc-QuxtMRg84K9g8KSxtx7RhapGdA1XMiJHCfOyr-7aBGu1o5V7eVgtE76FWogBPWkqbvOxHlImVVIelZ3eG4uRm4piltprJQLIkiWOyQIqjAy5NXFbO4pIiwm8rWwP77I5tV_YmiMFpoK9rvGvHcS_vfowdOyxm8T1OKc%3D
