companyName,company_starRating,company_offeredRole,company_roleLocation,company_salary,listing_jobDesc,requested_url
San Diego Association of Governments,3.5,Senior Modeler and Statistician,"San Diego, CA",Employerest.:104000 - 161000,"Execute sampling and weighting plans for various probability and non-probability survey efforts ranging from regional surveys to smaller survey efforts targeting specific populations. 
Perform analysis of large data sets and translate findings into digestible information to help inform various agency projects. 
Research, collect, and compile data; ensure accuracy of information; maintain databases, and documentation. 
Perform complex statistical methods such as analysis of quasi-experimental research designs with non-equivalent groups (e.g., regression adjustment, matching, propensity score stratification), longitudinal analysis, classification, dimension reduction, clustering, and hierarchical linear (random effects) modeling for various evaluation projects. 
Perform various duties related to the development, maintenance, and improvement of SANDAG?€?s ABM, RSM, CVM, and CBM. 
Perform research and participate in the development of modeling features related to emerging transportation technologies, transformative modes, and shared mobilities. 
Ensure transportation modeling tools and analytical capabilities are credible and effective for policy analysis; participate in quality assurance and quality control processes. 
Coordinate, support and participate in project matrix teams assembled for transportation modeling analysis required for long-range regional plans and highway and transit investment studies. 
Coordinate with the Applied Research Division to maintain transportation databases; ensure current and accurate traffic and passenger count data are being used. 
Prepare and present written, oral, and visual reports to policy and stakeholder committees, member agencies, community groups, private organizations, and members of the public. 
Develop Requests for Proposals, scopes of work, and project budgets; evaluate competitive project proposals and make recommendations for consultant selection; manage project consultants and ensure projects are completed on schedule, within budget, and with a high-level of effectiveness. 
Supervise, mentor, train, and provide career development opportunities for professional staff. A bachelor?€?s degree in statistics, mathematics, transportation modeling, computer science, engineering, or a related field with an emphasis on survey methodology preferred (graduate degree preferred); 
Five years of career professional work experience with sample design, sampling implementation, weighting, non-response analysis/adjustments, missing data techniques, questionnaire design, and assessing/minimizing survey bias, variance and error; 
Knowledge of the principles and practices of travel demand modeling and forecasting; experience in development of activity-based models is desirable. 
Experience programming in languages such as Java, Python, R, and SQL; experience developing and maintaining custom software applications to support modeling functions. 
Proficiency with statistical software packages in SPSS, R, Python is required. 
Knowledge and experience with relational databases such as SQL Server, including writing queries that transform and summarize data, stored procedures, and data views, familiar with Microsoft SQL Server or other enterprise relational database systems. 
Experience with big/passive data and applications related to transportation system performance, household and point level business and socioeconomic data, and mobility services data through APIs. 
Knowledge of Azure cloud computing environment is desirable. 
Experience with data visualization tools such as Power BI, Tableau, or ESRI Story Maps is preferred. 
Experience supervising and evaluating the work of employees; experience evaluating internal business processes and balancing workload with staff resources; ability to delegate authority and responsibility. 
Strong communication and analytical skills to support business leaders and decision makers. 
Excellent organizational skills, attention to detail, and ability to maintain a high level of accuracy. 
Ability to work effectively, independently, and as a team member. Hybrid work options  9/80 flexible work schedule  Pay-for-performance merit increases  CalPERS pension plan with employer and employee contributions  Excellent health insurance options for employees and their eligible dependents  Free dental and vision insurance for employees and their eligible dependents  Education Assistance of up to $5,250 a year for regular employees  Free transit pass for use throughout the San Diego region, bus, Rapid Express, Trolley, and COASTER  Paid time off including 12 paid holidays, 2 floating holiday days, generous paid time off (PTO) per year, depending on length of service",https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000018776354020bc61390fc01bde1a&src=GD_JOB_AD&t=SR&vt=w&cs=1_5927a549&cb=1681315414303&jobListingId=1008571082976&jrtk=3-0-1gtr3ag20ihno801-1gtr3ag2mgfrl800-f558dabbef0ee310-
Notarize,2.4,Senior Backend Engineer - Applied Machine Learning,United States,Employerest.:140000 - 165000,"
Design, build, and maintain our document recognition servicesIdentify and model common document types 
Develop processes to identify model misses and retraining of assets 
Mentor junior engineers on best practices and design principles 
Lead and be led. We expect all of our senior developers to be able to lead projects as well as contribute to projects led by their peers. 
Build integrations with existing document classifiers, version strategy on classification, new document tags and labels 
Experience and desire to work on NLP projects 
Experience with Python and PyTorch3+ years of experience maintaining and developing web applications 
Experience working with a team of engineers on product development 
The ability to work autonomously and own problems from end to end 
Effective communication and active listening skills 
Experience with Ruby on Rails 
Experience with SageMaker and/or TensorFlow 
Experience with the development and maintenance of machine learning models in a cloud environment",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000018776062ac381344ec938bf61de&src=GD_JOB_AD&t=SR&vt=w&cs=1_a87a7e33&cb=1681312328540&jobListingId=1008429413169&jrtk=3-0-1gtr0caobk6de801-1gtr0caoughqe800-21beb5f626f6c584-
"HR, Legal, & Administration",2.7,Chief Data Scientist,"Sartell, MN",117000 - 186000,"35 GB of data ingest per day, supporting over 510 million unique devices

 4 TB Microsoft SQL Server based data warehouse

 1.5 TB production Cassandra cluster

 Apply machine learning to optimize ad selection for millions of end users

 Develop algorithms to take into account hundreds of different attributes to build user profiles

 Interface with the Business Intelligence team to produce the data required for machine learning activities.

 Interface with Product Engineering team to ensure correct implementation of algorithms in the ad serving stack

 Interface with Product Management to develop requirements and analyze the tests/data resulting from machine learning activities

 Suggest and implement integration of first and third party data to build richer targeting and profile assets

 Operationalizing the data science process ?€? improving the process of data preparation and iteration of algorithm optimization

 PhD in CS/Math/Statistics or equivalent experience

 Expert in machine learning methodologies (regression, classification and unsupervised approaches)

 Familiar with Bayesian statistics

 AB testing, design of experiments

 Hands-on experience with R/Weka, SQL/Hive/Pig,MSSQL,Cassandra, Java/Python, Hadoop and related systems

 Familiarity with the digital media / advertising industry is a big plus

 Be an excellent communicator and a leader able to articulate complex decisions to the cross functional team

 NativeX offers competitive, performance based pay package that includes a base salary, equity appreciation rights and an incentive plan.

 Traditional benefits including Health, Dental and Life Insurance and 401(k) plan as well as Short-term and Long-term Disability

 Generous time off including paid time off starting at 4 weeks per year.

 Ongoing growth and development opportunities including training, on-the-job experiences, tuition reimbursement, and volunteer opportunities.

 Work in an entrepreneurial, energetic work environment.",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018776062ac381344ec938bf61de&src=GD_JOB_AD&t=SR&vt=w&cs=1_31ea220d&cb=1681312328540&jobListingId=1005633668263&jrtk=3-0-1gtr0caobk6de801-1gtr0caoughqe800-9fa42c157d29df6c-
Fisher & Phillips LLP,3.6,Statistician,Remote,Employerest.:36.39 - 62.31PerHour,"Statistical estimation and testing for adverse impact in employer hiring, compensation, promotion, and termination processes. Linear and logistic regression modeling and hypothesis testing used in preventative pay equity reviews. Build statistical models, such as linear or logistic regression, survival and other parametric or semi-parametric models that predict various business metrics. Interpret client data to identify statistical trends through data aggregation, sorting, and statistical analyses. Perform statistical data analysis and statistical computing using sophisticated software tools. Summarize and present results to attorneys and clients. Interface with various database platforms to pull data and link them logically; know how to deal with the inherent structure of the data. Manage deadlines and ensure project steps are completed and progressed in a timely fashion. Collaborate with other team members, attorneys, data analysts, and paralegals. Advanced level technical proficiency, beyond the capability of an admin or word processor. Written and verbal contact with HR and legal professionals at Fortune 500 companies. Bachelor?€?s degree or higher Applied Statistics/Mathematics/Computer Science or related field required 4 or more years of Statistician experience Compensation analysis experience Highly proficient in Microsoft Office Suite (Word, Excel, Access) Experience with Power BI preferred Extremely efficient, organized and resourceful. Critical thinking and problem-solving skills Ability to multi-task and manage multiple projects, from start to finish, with shifting priority levels Proficiency with Power BI, SPSS and/or other statistical software is required Strong organizational and communication skills Experience with routine billable time and cost capturing for work performed preferred Respond promptly to attorney and client requests for service and assistance; meet commitments Follow instructions; complete tasks on time; commit to the hours necessary to complete assignments; work independently",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018776065c719c2580367d5cf00f&src=GD_JOB_AD&t=SR&vt=w&cs=1_42479cc0&cb=1681312341278&jobListingId=1008443783550&jrtk=3-0-1gtr0cn58jop9801-1gtr0cn60g2f4800-6e2852d29bcbe972-
King & Spalding,4,Senior Data Analyst,"Atlanta, GA",79000 - 110000,"Locate and extract data from a variety of sources for use in analysis, models and reporting 
Aggregate views of data sources into meaningful hierarchies 
Develop automated PowerBI reports and analyses with direction from other senior members on the team 
Support process improvement and project management engagements for both individual business units and cross-divisional initiatives 
Present findings to Operational Analytics leaders using visual story telling 
Practice safety-conscious behaviors in all operational processes and procedures 
Have a team first attitude with the success of our team and business partners as their top priority 
Be intellectually curious, ask questions and speak up when they have an idea 
Be ""Do-ers"" and are not afraid of failure, but instead learn from each experience and improve 
Be independent workers who look for problems to solve and then come up with innovative ideas 
Make things happen without frequent management direction and know when to communicate status or escalate issues to their manager, teammates or stakeholders. 
Enjoy working in a high-profile environment with fluid priorities, ambiguity and extremely aggressive deadlines. 
Embraces diverse people, thinking and styles Bachelor's Degree or 5 plus years of relevant experience 
Experience with some or all of the following: Power BI, Azure Data Lake and Azure SQL 
Experience with Master Data Management and Data Governance processes and tools like Purview
 Must be comfortable working in group and individual settings. 
3 years work experience in analysis, information science, data visualization and storytelling, or other relevant quantitative field strongly preferred. 
Previous experience identifying, cleaning, and structuring new data sources preferred",https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000018776067154abcf085e60a419e0&src=GD_JOB_AD&t=SR&vt=w&cs=1_ace310cf&cb=1681312346662&jobListingId=1008123615843&jrtk=3-0-1gtr0cscb2ff6001-1gtr0csda23ee000-c8ed591c58c5ebcf-
Alston & Bird,4,Data Scientist / Analytics Engineer,"Atlanta, GA",86000 - 129000,"
Serve as a subject-matter expert on various analytics tools such as statistical programming, deep learning, and machine learning algorithms and provide this expertise throughout Alston & Bird as needed 
Communicate with senior level business management and lawyers to facilitate a mutual understanding of what analytics tools are available and how these tools can be applied to the firm?€?s high-level strategic initiatives 
Design and manage analytics projects that address challenges and firm needs when vendor solutions are not available 
Implement state-of-the-art Natural Language Processing (NLP) models and use transfer learning to train models for a wide array of text classification and entity recognition tasks 
Develop prototypes of legal applications that make use of NLP models, such as tools for document automation, document classification, and legal research 
Evaluate and assess 3rd-party analytics products in terms of their quality and applicability to the needs of various Practice Groups 
Collaborate with Practice Innovation, Finance and other IS groups to integrate vendor products and in-house applications with the firm?€?s existing IT infrastructure 
Present the findings of analytics projects at firm workshops 
Monitor how analytics tools are being used across the firm and work to increase employee engagement with these tools 
Maintain an up-to-date knowledge of the latest research and developments in machine learning, NLP, and legal analytics. 
Develop and manage relationships with Alston & Bird attorneys and staff 
Participate in relevant networking and educational events, developing relationships with peers and vendors 
Monitor industry news, trends and follow changes in vendor developments and roadmaps 
Understand industry standards and best practices in working with LTI and KM tools 
Achieve and maintain relevant professional certifications, licenses, and skills 
Ensure transparency and timely communication to the Senior Director of Legal Technology Innovation for all projects, initiatives, and issues 
Performs other tasks and duties as assigned 
Experience working on legal analytics projects in a law firm or legal setting required 
An understanding of legal technology applications 
Highly proficient in Python, SQL, or equivalents 
Advanced skills using statistical analysis packages including Pandas, NumPy, and SkLearn 
Ability to implement neural network models using deep learning frameworks such as Keras, PyTorch, and Tensorflow 
Ability to use transfer learning to address unique and highly custom problems with limited data and an understanding of concepts like finetuning and adapter learning. 
Strong candidates will be able integrate their models into scalable, user-friendly applications that can be served across the firm 
Strong experience with Power BI or familiarity with other data visualization software is desired 
Experience with API application development 
Excellent organizational, analytical, and problem-solving skills 
Excellent communication skills are critical as the Data Scientist must be able to clearly articulate complex concepts to both business users and project teams 
Prior experience with intranets, extranets, search solutions, legal research and analytics resources, document management systems, and other legal technology software desired. 
Prior experience with document automation, machine learning, data analytics and other advanced technology for delivering legal services required 
Demonstrated aptitude to learn new software and technical concepts 
Ability to focus on high-tedium detail, work independently with little direction, work on a team and recognize when to seek guidance from others. 
A Masters degree in computer science, analytics, or a related field 
2 years of experience in professional and/or legal services industry 
4+ years of experience in professional and/or legal services industry",https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018776067154abcf085e60a419e0&src=GD_JOB_AD&t=SR&vt=w&cs=1_1f54ff65&cb=1681312346661&jobListingId=1008476721914&jrtk=3-0-1gtr0cscb2ff6001-1gtr0csda23ee000-e727fd9b578c1d8b-
Berry Appleman & Leiden LLP,3.9,Sr. Data Scientist,Remote,,"Develop and continuously improve models and processing algorithms for document text and image capture, entity extraction, and classification. Work with product owners, engineers, and others in developing and refining projects and products employing machine learning, artificial intelligence, and predictive analytics. Wrangle, normalize, and analyze structured and unstructured/document data sets. Develop and perform experiments to test hypotheses and compare algorithms and tools. Manage the model development process and pipeline from requirements gathering, ideation, and initial development to automated testing, deployment and retraining. Keep current with emerging developments and products in the broad area of data science and artificial intelligence. Create visualizations and otherwise communicate findings and present new opportunities to internal stakeholders. Help establish patterns and best practices for a new and growing team. Other duties as assigned. Bachelor?€?s degree or higher in Computer Science, Mathematics, Statistics or a related field. 5+ years of experience working with data modeling and machine learning patterns and techniques, including supervised learning, clustering, computer vision, natural language processing, and neural networks.
 Expertise in Python, SQL, and other programming languages. Experience with Spark and Hive and/or other big data technology (Databricks experience a plus). Experience with the major cloud platforms, infrastructure, and AI/machine learning-related tooling and services a plus. Experience with document classification and data extraction a major plus. Understanding of data engineering and MLOps patterns and best practices. Astute, responsible, opinionated and communicative. Ability to make sound judgment calls. Ability to work well with minimal supervision. Ability to catch errors and correct the work of others. Superior client service skills. Ability to prioritize. Ability to meet deadlines and goals.",https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018776067154abcf085e60a419e0&src=GD_JOB_AD&t=SR&vt=w&cs=1_5c823d2a&cb=1681312346662&jobListingId=1008498755951&jrtk=3-0-1gtr0cscb2ff6001-1gtr0csda23ee000-055422c84dcf32ff-
Kirkland and Ellis,4.1,Senior Financial Data Analyst,"Chicago, IL",72000 - 95000,"
Support key strategic initiatives of the Firm with financial modeling, data mining, and analyses. These activities require the individual to identify, extract, and summarize information from multiple sources for specialized Firm and client reporting needs, such as: 
financial presentations for the annual partner meetings
 diversity and pro bono initiatives 
completing/reviewing survey submissions 
analyzing industry data from completed survey reports 
ad hoc client/engagement analyses relating to hours, billings, and collections 
Demonstrated skills in writing complex queries using Transact SQL and other data query/reporting tools, for tasks such as transforming data and auditing transactions. Actively participate in/contribute to system and process re-engineering efforts; recognize/assess the downstream impacts of process changes. 
Demonstrated analytical skills and ability to identify, analyze, and interpret trends or patterns in complex data sets.
 Applied data mining to extract information from data sets and identify correlations and patterns. 
Organize and transform information into comprehensible structures and prepare into specific reports. 
Design custom analyses, vetting the results, and analyzing the impacts on the Firm's pricing and cost structures. These analyses would encompass fee arrangements, attorney compensation, and client realization levels. 
Meet established/on-going departmental procedures and reporting requirements, such as monitoring and analyzing Fee Arrangements, preparing reports for committees, the CFO, and other members of senior management. 
Develop innovative analytical approaches to address information requests, enhance process efficiency, support new initiatives, and/or more accurately reflect changing business elements. At least 6 years of experience in accounting and/or finance, showing progressive growth in responsibilities. A Bachelor's degree in accounting or finance (or comparable experience) is required. CPA status or an MBA, as well as previous experience in a law/professional services firm is desirable, but not required.
 Strong accounting, analytical, research, and conceptual thinking skills are required. The ability to work with intricate data, while maintaining an awareness of the overall objective and how all the relevant data points fit together is critical.
 Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy. 
Excellent interpersonal and organizational skills are required, and the individual must be proactive and results oriented. Attention to detail and the eagerness to learn and to progress within a dynamic and growing environment are imperative. Individuals are expected to exhibit strong customer service skills and a commitment to excellence. 
Candidates should possess strong written and oral communication skills in order to clearly and concisely summarize observations, conclusions, and recommendations. The successful candidate will be capable of working with all levels of Firm personnel, both as part of a team and independently.
",https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000018776067154abcf085e60a419e0&src=GD_JOB_AD&t=SR&vt=w&cs=1_8942794f&cb=1681312346662&jobListingId=1007858325037&jrtk=3-0-1gtr0cscb2ff6001-1gtr0csda23ee000-df83b2aaee07bfdd-
Husch Blackwell,3.9,Data Scientist,United States,,"Use statistics, mathematical modeling, data mining, machine learning, and data visualization techniques to deliver data-driven insights for our clients. Work with firm leadership to understand challenges and create solutions. Be a thought leader for the team on projects and about leading technologies. Stay on top of data science, machine learning, mathematics, and visualization trends & practices. Be a self-starter- ready to set the direction for advanced analytics and data science for the firm. Position is generally sedentary in nature; involves sitting most of the time, but may involve walking or standing for brief periods of time. Ability to occasionally lift up to 15 lbs. required. Ability to talk and hear required. Ability to perform repetitive motions required. Ability to sit, stand and walk required. Ability to reach, lift, climb, balance, stoop and crouch required. Ability to see and read PC screens; detect color coding, read fine print, and/or normal type size print required. Exceptionally adept at tailoring communication to a given audience; comfortable engaging in productive conversation at all levels of the organization. Strong demonstrated ability to leverage technical capabilities to meet business objectives. Ability to deliver superior service to all internal and external customers and communicate effectively. Ability to interact in a professional and courteous manner with clients and employees at all times; professional appearance required. Ability to successfully perform position requirements with excellent organizational, time-management and prioritization skills required. Ability to work collaboratively within a team; ability and willingness to adapt to changing business demands. Ability to produce acceptable amount of work efficiently and accurately; ability to produce quality final work product. Ability to exercise good judgment at all times by making sound and practical decisions; ability to assume responsibility for decisions and act decisively under deadlines. High level of professional integrity required; ability to maintain confidentiality and build trust. A Bachelor?€?s degree in mathematics, computer science, or related field. Significant coursework in those areas acceptable with non-STEM degree. At least 3 years working in applied mathematics or statistics (one year of academic coursework may count towards this total). At least 2 years writing code for data analysis in Python. Minimum 2 years working with SQL to consume data. Fundamental understanding of machine learning methods. Experience with LLM tools from OpenAI and/or HuggingFace. Command line experience in macOS or Linux. Knowledge of Natural Language Processing. Experience developing data visualizations.",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000018776067154abcf085e60a419e0&src=GD_JOB_AD&t=SR&vt=w&cs=1_ec8dd864&cb=1681312346661&jobListingId=1008575864214&jrtk=3-0-1gtr0cscb2ff6001-1gtr0csda23ee000-2e15c06e5e6a34a0-
Husch Blackwell LLP,3.9,Data Scientist,"Austin, TX",86000 - 122000,"Use statistics, mathematical modeling, data mining, machine learning, and data visualization techniques to deliver data-driven insights for our clients. Work with firm leadership to understand challenges and create solutions. Be a thought leader for the team on projects and about leading technologies. Stay on top of data science, machine learning, mathematics, and visualization trends & practices. Be a self-starter- ready to set the direction for advanced analytics and data science for the firm. Position is generally sedentary in nature; involves sitting most of the time, but may involve walking or standing for brief periods of time. Ability to occasionally lift up to 15 lbs. required. Ability to talk and hear required. Ability to perform repetitive motions required. Ability to sit, stand and walk required. Ability to reach, lift, climb, balance, stoop and crouch required. Ability to see and read PC screens; detect color coding, read fine print, and/or normal type size print required. Exceptionally adept at tailoring communication to a given audience; comfortable engaging in productive conversation at all levels of the organization. Strong demonstrated ability to leverage technical capabilities to meet business objectives. Ability to deliver superior service to all internal and external customers and communicate effectively. Ability to interact in a professional and courteous manner with clients and employees at all times; professional appearance required. Ability to successfully perform position requirements with excellent organizational, time-management and prioritization skills required. Ability to work collaboratively within a team; ability and willingness to adapt to changing business demands. Ability to produce acceptable amount of work efficiently and accurately; ability to produce quality final work product. Ability to exercise good judgment at all times by making sound and practical decisions; ability to assume responsibility for decisions and act decisively under deadlines. High level of professional integrity required; ability to maintain confidentiality and build trust. A Bachelor?€?s degree in mathematics, computer science, or related field. Significant coursework in those areas acceptable with non-STEM degree. At least 3 years working in applied mathematics or statistics (one year of academic coursework may count towards this total). At least 2 years writing code for data analysis in Python. Minimum 2 years working with SQL to consume data. Fundamental understanding of machine learning methods. Experience with LLM tools from OpenAI and/or HuggingFace. Command line experience in macOS or Linux. Knowledge of Natural Language Processing. Experience developing data visualizations. 
2 year(s): Working with SQL to consume data 
2 year(s): Writing code for data analysis in Python 
3 year(s): Working in applied mathematics or statistics
 
Bachelors or better",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018776067154abcf085e60a419e0&src=GD_JOB_AD&t=SR&vt=w&cs=1_d770ef1a&cb=1681312346661&jobListingId=1008576056848&jrtk=3-0-1gtr0cscb2ff6001-1gtr0csda23ee000-3b4adc14559b53c3-
