companyName,company_starRating,company_offeredRole,company_roleLocation,company_salary,listing_jobDesc,requested_url
J&T EXPRESS SINGAPORE PTE. LTD.,2.5,Junior Data Analyst,Singapore,3000 - 3000,"Collect and clean data from various sources, ensuring data quality and accuracy
 Use SQL to extract and manipulate data from relational databases
 Use Excel to perform data cleaning, filtering, and visualization tasks
 Analyze data and prepare reports to identify trends, patterns, and insights that support business decisions
 Collaborate with cross-functional teams to drive operational improvements and business growth
 Fresh graduate in Diploma or Bachelor's degree in a relevant field such as statistics, mathematics, or computer science are welcome to apply
 Strong foundation in SQL, Excel, statistics, and data visualization
 Excellent communication and problem-solving skills
 Ability to work independently and collaborate effectively with cross-functional teams
 Strong attention to detail and ability to work in a fast-paced environment
",https://www.glassdoor.sg/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001872420be968ac5ef671abf2e9b&src=GD_JOB_AD&t=SR&vt=w&cs=1_e03d03df&cb=1679938338791&jobListingId=1008541344576&cpc=FB7E4A1762AE5BEC&jrtk=3-0-1gsi21fljma4j801-1gsi21fma2a4v000-5b62755c71acbb6c--6NYlbfkN0DDngqMaf0VkHGuTUEdQzD8rifzbXva63y-SEiSuTkhEyLrw75V5etFArisuH_o37Ht-6R_xO1y_PcMxZyGK2OW7VZGaR7rC3Yleo4RFtwhhihW58-H1JYrUeZOqXS5JKGam82xf6uDZ0ljzSotJcj5Xlp5726JbpoPnRrlvvMpo_5NwOQkWfSLkmvUMxOq2wbrBIdGK5ZK7OAWkeBy8bEWDrCuq0MKvNxKmeyrH2wkHTZNY9HLHKSQYmre9Tz52Gf_p132uZcmxpuXvzhY9iJV665l1NAhTOnw3zCR_2xE2TQWn8Z0JLlVhUeQZWNBIHoGYXRWeTs9XKGLi65PdPU_Ei0yT-2zrTpJrEAB7P6eLb2f7FHZMjTsD1KYo8LJ3jdDR_3hrIvZO33PpNxoolxrUJyoxX62iZ26IfEDJkTAFP0LQyjkWcOb8UVUc9nuLupoonbGITvtVNLp-ZMsNziUuYeyG7JnAJr36jyOEYsw7-4fmBAKsM8hvU6CvUiR7g_pJXrfNFgDYWlm0Ip-UBJGTZC2ttU4_BYpFg_UZRL5Vas036f_FwSP0nf9vhs2SnxYbN8eTzBzB_w0kgFg-fa2R5gv6eLvIcaCV9Y1qTrkKttAnFTGE3yCseQ_EWt6rwK4pjYdeLDVpna6i94881oE1F-N4TIlEZ2VSvi09j4Sv-kNPuOvWmRHkB7aZyCZ45_P0j7cIatJ-tRi08SqygSC_SSgwpsj5j2EorqbzjnNs4VnnkSfPErAgbyDMgODK709509hO0D2zj7VN_tKrfOsqlmv7thVVhoYEVFUIpUgrw%3D%3D
ATT DIGIVERSE PTE. LTD.,NA,Data Analyst [Junior],Singapore,4000 - 6000,"Work with business users and data platform team for requirement gathering and process collaboration.
 Assists in the development of Data Processing piplines for Data modelling, analysis, and reporting from large and complex transaction datasets.
 Support the development and maintenance of Business Intelligence (BI) dashboards with internal BI tools for data insights and business support.
 Assist to aggregate and analyze various data and utilize the output to provide insights, uncover trends and business opportunities.
 Monitor performance and refine data platforms for improved accuracy overtime
 Support in market research and competitor benachmark to supplement insights derived from the internal data sources, and to identify new and apt areas where data analytics can be applied.
 Degree in Computer Science / Computer Engineering / Information Systems / Mathematics fields
 Good English communiaction skill in both written English and presentation skills.
 Understand basic enterprise IT development environment and tools
 Experience in coding or dashboard development
 People-oriented",https://www.glassdoor.sg/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001872420be968ac5ef671abf2e9b&src=GD_JOB_AD&t=SR&vt=w&cs=1_37ff41a8&cb=1679938338790&jobListingId=1008513574686&cpc=FB7E4A1762AE5BEC&jrtk=3-0-1gsi21fljma4j801-1gsi21fma2a4v000-a294dc1e92e6e4d1--6NYlbfkN0DDngqMaf0VkHGuTUEdQzD8rifzbXva63y-SEiSuTkhEyLrw75V5etFArisuH_o37FO922bHXCrjB80pXOqhAWC-ClnupY-0lNEoxsu4DgFoa4LddFr9ivBgbqCiEvWyrNeF_fgVPY8AY2E1O2I4ogWowWyxp3MNgym5h6pPHZTnXxjmkQNU1_KQ3KH2KqJ2xb6nk0Hlsvs1ydtxPhlpbmMkrYP8lQbRGe6GbrxWe5S02aMyCR3awBcVWPCHgLHc810khZha7jmhAR4OmiZTSLEvqjWK5F0lVFWsCmPIlgy7oUk2Fjxd8NrZrAgFEhI7c4nmlo-hIqWluTc20YR3En01kE1qc4Y2ovtdisfblCMqNiKuMBb1fxiDQXIVwyQw5K7ODUnlzKYPWelLxcNURWf0NzkV9YDxwdEhZvbxWWTTTYDuA_gKAcoqXAGvhuqig2oNlHbVglCbXwwei9K8lAv7vcg7dKf3pFI9XAExoZWycV_iycIeOvqXV6tuztbVvVYzuFFRpGWDZJV88w9GtQZ3w4EQerwKHZaRFKhYdM2m3U8x_z2YJtHNLgc68m0pluL19vXAkRoAd4yzHcnUCAr9PtJjiKZMyhK-aBB-rPBhl-NNyopg-fZUsB_H9ywXk8DiLrkt62jO9UlIqBCBH4gil0IgKVvvPONYgLOnJ_GbHC87t2HHx4mKLQq1y_bZxzatSkowEYeeYbTU7d3TY5xxRaDqlqD42cVXiZJZs5WJudhV3B6fItiD1En7stIq5fPcsxMYj73_b6ngZ0O4ZNoRStJG2mfgBQ%3D
TRUST RECRUIT PTE. LTD.,5,"Data Analyst ( Data Modeling , Data Analysis , AWS + VB ) - URGENT HIRING !!!",Singapore,5000 - 6000,"Provide data analysis and insights to Product Owners and Business Stakeholders to support business decisions.
 Produce and automate reports for the global finance team to perform accuracy checking.
 Maintain and/or develop web-crawlers to automate data checking between client’s website and company database.
 Collaborate with other Product Owners to understand their business needs, formulate, and complete end-to-end analysis that includes data gathering, product analysis and expected deliverables.
 Fulfill ad-hoc data request from different product owners
 Minimum Bachelor in Mathematics, Statistics, Finance, Computer Science, Information Technology or other equivalent qualifications.
 Minimum 2 years of working experience as Data Analyst.
 Experience working with statistical programming software such as R and Python.
 Experience in scripting with Relational DB preferably MS SQL & MYSQL.
 Strong analytical and data modelling skills with the ability to construct accurate queries/reports upon request.
 Good in data visualization tools such as Tableau or Power BI.
 Experience with Tableau Server and Cron jobs are preferred.
",https://www.glassdoor.sg/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001872420be968ac5ef671abf2e9b&src=GD_JOB_AD&t=SR&vt=w&cs=1_a59b5373&cb=1679938338791&jobListingId=1008549434234&cpc=FB7E4A1762AE5BEC&jrtk=3-0-1gsi21fljma4j801-1gsi21fma2a4v000-f8b668b18684d37f--6NYlbfkN0DDngqMaf0VkHGuTUEdQzD8rifzbXva63y-SEiSuTkhEyLrw75V5etFArisuH_o37G9tYCCOcUdNueGBekaUpK-daLOZtA7MUsnPkn4joXLQfF-Jxr5nT5neZshkeC9bFwlzI7zNjIhhd8xEzCFo4YFQl8WMbTbBHFhviOSZq24QlOE9ax0cbWXgyEjqwPO5Ghsc1Kys5E64rQbfFMGWEPo8NwPEGG52Z_0oYvDCSQgYjkz_IWFx90F58DovZmXWVvaaC-lAKgcgtyx4XDsoDuz7g3jI1BOgk7xwtg9izw7U21hPDc6dXEQjOKKnksOTZMKmJU4c7l4a2pTILleX2U9YCJZMKPobnpjtQPslgMlenlNAXR_bvnvIS77EhLsERODJu1NavVzVpTkrVYrDuDk6roBVkfl6dwNGQ_P_iWzoSh58-J9t-zAd8ZQGcsy21XDPPeZSGzQzxP7TRkViCrQmtzW2wQGiAurqaQl71EUF7tJcRSaW4ogM-57qo9fwJJJlpitWLz9UaVi3gNwVNb_BmD5JPSizfGJ-tHHQiA50-Y_qQ0OYCSfPAQAmxB7LbfpeC5zHsr6YECzIigWrB5ozyX15lQ7v-e2oY6Yjg21UaehkHxvbfIF9XcXSuPsSnQIS0DPPhQ7UdCrSuThb6bTHnUxjmmaOP95tf1nJAaUBN3z2qm0r5O6IMxfEJJjES__IRzLFvaxT97tkAeIP3iIfcBI0_kn5Y1rwo1TdbAwQ58ocZ5AQZdzVdNxQmPaBi9m3ZUaz1jFSLPbyoJH5ZropY2xijqotr1pb1Nd2rtRgP6-5PPVZfKiZn7LfmSvtvA%3D
ARYAN SOLUTIONS PTE. LTD.,4.2,Junior Data Analyst,Singapore,4000 - 8000,"Place client value and human experience at the center of everything we do
 Develop and deliver value to clients by building large scale enterprise data pipelines to capture, transform and store date to support reporting, automated systems and AI/ML
 Be a part of a world-class team of experts in Data engineering
 Be a part of a culture of excellence and with confidence, charisma, context, and humility, working effectively at all levels
 Delivery of data pipelines to drive material impact and drive disruptive transformation across our clients in public and private sectors
 Support thought leadership development as a team for data engineering and scaling deployments
 Work with client’s ecosystem of partners to deliver client value
 Adopt a cloud-first strategy to enhance agility and elasticity by partnering with vendors to support specific public sector needs
 Bachelor’s Degree/Masters Degree in computer science or any engineering discipline
 Minimum 3 years of designing, building and operationalizing data solutions and applications (with batch or streaming data)
 Excellent understanding on SQL data storage structures and storage/query optimizations
 Mastered SQL querying to build any data presentations using joins, reference tables, groupings, statistics etc.
 Proficiency in BI skills, including experience in generating reports, dashboards and other business intelligence outputs
 Proficiency with Qlik strongly preferred
 Proficient in at least one core language: Python, Scala, Java
 Exposure to concepts like Serverless computing, CI/CD, Containerization, Infrastructure as Code, code version control and automated testing
 Exposure to one of more of cloud services like AWS, Azure or GCP
 Strong ability to communicate with a broad range of clients, colleagues, and partners across a variety of contexts and formats.
 Strong ability to develop and maintain relationships amongst clients, colleagues, and partners
 Show active tracks of improving knowledge and skills (e.g. courses, podcasts, books, experimentation, open source volunteering, tech meetups etc.)
 Ability to work independently with minimal guidance
 Ability to work as part of a large team
 Ability to work within an unstructured environment with ability to multitask well",https://www.glassdoor.sg/partner/jobListing.htm?pos=115&ao=1110586&s=58&guid=000001872420be968ac5ef671abf2e9b&src=GD_JOB_AD&t=SR&vt=w&cs=1_ba8df0de&cb=1679938338792&jobListingId=1008519472462&cpc=FB7E4A1762AE5BEC&jrtk=3-0-1gsi21fljma4j801-1gsi21fma2a4v000-702bb19189941ca1--6NYlbfkN0DDngqMaf0VkHGuTUEdQzD8rifzbXva63y-SEiSuTkhEyLrw75V5etFArisuH_o37HCnjw7pYDiedB2B92kRk6aEMrlvcxW6W145ojG1CYiAZElVoxg5-yMFXq0ZkoH5bx5Ua2FauOU-WvT96cnYURmJoh6paK8-LrBVM_2sddSFEuGvEOmCOIWLG6nENBu44x6ohhFex3Sk6_91diyYiY95aeuwCgsjEJL6yvwy4jNv9StNGCdYg_1LCe8MD-jTAT6U4zhkdz37Ia5QUdiEEa0Qgg-crqInyrjhibltu-FTLo4vsK6XTGpDW_LOJk-uDYqxCZvtNWjQrmW47AdhNxpDKYjzhNJfVx9NKtIGiLJfGyeKoDCqIwGrIgHEseEiiRvGhtZamkGZu4Dc-q20nBa3va7SD2Q8nj5Agt246tiFyjNMulwDbo3FXFb5bKjv3xrINJL--P0kem01--c_ISEKihTrSNJ9rOYVIF2xqLLwE3u-iBc71z29pbV7DuQ0VGyxrD53_mzIGUgc6bhHa_TQp381Ld247CMzgQLhp0Mj_aJXLNTmbB8jG5u_iT9xjSZGt4BmpVhBk64qhtp8c-NJsQAOEQ2ejVmcG17LuSrP2UJVfVkTw0EM9mG2inw0edtk4agdpyRQZ7KzHqMjjRv_gKT27sSEOZScAq4rZyCi-pOMKjA52uFMllUFS1hBE3U1-89gFJitroYlRCeyvdHU6uAjBZY9-Q3NIZ3oYizPpjSsJPoEkv0E8pyhwrNTcQYAdmtR9Jqo8OuaaaJ0y0aoXWgjej57Z3oc-hm-QiSFfwXclYyE1gY
TRUST RECRUIT PTE. LTD.,5,Data Analyst (Tableau/ PowerBI/ R/ Python/ In house) Up to 6K 8CSY,Singapore,5000 - 6000,"Provide data analysis and insights to Product Owners and Business Stakeholders to support business decisions.
 Produce and automate reports for the global finance team to perform accuracy checking.
 Maintain and/or develop web-crawlers to automate data checking between client’s website and company database.
 Collaborate with other Product Owners to understand their business needs, formulate, and complete end-to-end analysis that includes data gathering, product analysis and expected deliverables.
 Fulfill ad-hoc data request from different product owners.
 Minimum Bachelor in Mathematics, Statistics, Finance, Computer Science, Information Technology or other equivalent qualifications.
 Minimum 2 years of working experience as Data Analyst.
 Experience working with statistical programming software such as R and Python.
 Experience in scripting with Relational DB preferably MS SQL & MYSQL.
 Strong analytical and data modelling skills with the ability to construct accurate queries/reports upon request.
 Good in data visualization tools such as Tableau or Power BI.
 Able to present insights clearly to both technical and non-technical audiences.
 Knowledge of mobile gaming and performance marketing is a plus.
 Experience with Tableau Server and Cron jobs are preferred.
",https://www.glassdoor.sg/partner/jobListing.htm?pos=121&ao=1110586&s=58&guid=000001872420be968ac5ef671abf2e9b&src=GD_JOB_AD&t=SR&vt=w&cs=1_7c9df968&cb=1679938338793&jobListingId=1008549433867&cpc=FB7E4A1762AE5BEC&jrtk=3-0-1gsi21fljma4j801-1gsi21fma2a4v000-2573a1986aeb4381--6NYlbfkN0DDngqMaf0VkHGuTUEdQzD8rifzbXva63y-SEiSuTkhEyLrw75V5etFArisuH_o37G9tYCCOcUdNjpSWU9vi0r4sa0t64MH28_GjkERj_f6aemr4vnaUIxcibYI95royKorJcuWog2Xhm7tGlVectGYZsMOy8FtflqY4MzPJdjl49BHGLinL-CIHvXW7BefzaZgtsgfZOO11u1lTY7yWHc92qgfM3ajwjWKkq55Q2uKAL9UjShaU5izXCkLNVj4WJom1hrkfx3XrnuKaxI1ODOAyPgEQ5hBpNPI4IzJY31mXtJjZhp5qArHTia83ZCSNx3WrT4zCRUOCCWI5WlM-uY7w_5MgOoprFxe_qwncyPczjh0tj3HSh_XbdqTHj4Ivd-NqwEWAoN8MTiAzDk-KtAh9VCfu9WghhRar3bleMqTUqtqCY9Us-23PAlHiNrb-SAXhAFyz7Ool_oLwWwqXpmVyJOQtxo_SGeWARlvzNQnOaH3SjK3gTWHh4YeXttXMosf6miVcH0N_xUPvLZgzqvwMuBI3KeUexuGt5pJl4j0OwEap7JVYTX1V0fWFqd8ethvUwFvNV6Rx2A_WYlpDClsryFyhoEGuJovNt_R_li9fF_FiERQYapVJZX1keTHtRFEQaRSopP-1gVSsqL7G2NOYpEpmSAYGf9GrMcvnc4mhvjd46npXzZzFqvC9MhiV68OMM8KcA0CiS3g0pKUHItPGlfptj8W7oZPxExcmPg0kjlVdS8TxuS2P4aO8MkbuL7Mar827mZgBaQSzcTf27QQjCpUqqqomPk9TzICrSOUU2zx-F-kvfqF
Recruitpedia,4.4,Senior Risk Analyst / Central,Singapore,5000 - 7000,Monitor price risk in compliance with regulations Process data for calculation Interpret and analyse risk data such as Profit and Loss and Value-at-Risk Ensure no inconsistency with daily figures Publish risk reports for management department Monthly report reconciliation Give suggestions regarding the use of internal system Other adhoc duties as assigned Minimum Degree in Business related discipline Minimum 3-5 years of risk management experience in trading industry Have knowledge about commodity trading (especially oil and gas) Email Address: jobs@recruitpedia.sg Recruitpedia Pte. Ltd. EA License No. 19C9682 EA Reg. No. R2198636 (Oh Puey Xin) Monday to Friday Performance bonus,https://www.glassdoor.sg/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001872420be968ac5ef671abf2e9b&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a399fb65&cb=1679938338790&jobListingId=1008548679576&cpc=9FFE37255B2C047E&jrtk=3-0-1gsi21fljma4j801-1gsi21fma2a4v000-e429b78dcd8edfea--6NYlbfkN0D9hmzYL-lfY7EYmBsKYyDUYI0KJl0vYgUu0s9cp6QWOGsv0azYhZe5z5w-Hz1oqBQwUOt3zindrv64UAUe2KYEfYgfACr9Ef7Vlsx0R4DrKUDTAW_SP6YbxmzKdMgijFjqL3qooDlmqS7h8wElP2CAJqMgo-KY2Q564lJftzWzjJGUoX4Ppcox7gQjwX0pgCEZ0oIQmgYnxdk-RZCQ70rFsKBm_ADjvLJA6EVhGUud8AM-UirPp-C2vFzCQi2_fX3SsKOi3NPohGShcFsEiZDpf34GgjamN_UnfcrCKqbJTPgn0YT3xhkISkRBDTdYxl_YbShASqdKJw8xRisW6KRz1dYzWiOzDfHYow0Eq-G0cvqlFtJF0RHrFtDpsZSu79r_N_Tp3_JdpgOhleyag5Um_8MbS49U70WMgyrULxO_L2zxvkC5ipaJ-gosKkbDS3ZnO9WoIPpvSsFmfKa22JRX45ZNczVBdzTLjXxQKhkwUmBo-zHBfhi2IJdZSg8cT9PzhouiGWEWB0IlW0mEYZeCpsYzCbFTzKGsA5HCuHZ1-xjuCM7bvaqmgvN1qmOikeZdeJCZE07pKw4vkE-vNsIO
TTS GROUP PTE. LTD.,1.2,Traffic Data Analyst,Singapore,3000 - 5000,"Data analysis and Quality assurance of traffic/interview survey data, with liaising of different stakeholders and partners (internal and external)
 Project and/or Client Management of traffic/interview survey jobs and ensuring deliverables are met in accordance to specifications
 Minimum Intermediate Level of Microsoft Excel is required
 Coordinate and execute traffic surveys on-site where required
 Understanding and interest of traffic and transport and/or market research principles
 Market research experience will be an added advantage
 Min Diploma/Degree with minimum 3 years’ experience in a relevant role or field",https://www.glassdoor.sg/partner/jobListing.htm?pos=123&ao=1110586&s=58&guid=000001872420be968ac5ef671abf2e9b&src=GD_JOB_AD&t=SR&vt=w&cs=1_003dd2fc&cb=1679938338794&jobListingId=1008529620691&cpc=FB7E4A1762AE5BEC&jrtk=3-0-1gsi21fljma4j801-1gsi21fma2a4v000-6d0368296b3df2cc--6NYlbfkN0DDngqMaf0VkHGuTUEdQzD8rifzbXva63y-SEiSuTkhEyLrw75V5etFArisuH_o37GzXDT5qHlXTj36rnlMPjYLfJKiPZm3yFdc1BjsMfupDaB1s_3NY7cf3Z_AN-n0JrEJuKLRFBATva2GXr6BejjQx8HWzhFujLZdlvxv61AXrDXDYMlTO-6HRWmoLwuLNHPqoUnYDhy9huacTYtXuKwoEqVoD8j00clEwkC6PhGPIOz0nbbmdYS_f9XQphZ5fWdObB0XMQnde5iQsCV61kAyHfLxa_T0JvrHO3bOf1LLsFvp9qF8tsIgIIKsDHpcHDYybu68SzzTQgU8l_c7LrETiXm9cq3NqkbIJTU2JM_ytKrKO4SMUU5rGnTnS8eTjtMa67o3lr7k6eiajbd47kYbNjJu1x7gkg_Z3W0FyLArGuywFFfEftsgKmdGpWHzvSMs2yegWF_oPl4vISCRqxqFH2sA07mA9RL8h5mn7LgTwglxzOrl5niLY9ZHBbcJoWXzGqQip7bdgHs4d9TEAo8bn1ujy9m3UXEYp3qYtDDx5EzI_Bi_Sg0urrI2hNPIE-EnqDEy_sCSeh4G45nZArzaefi5m_x-EC-9YLRmDABDjzPD83RWL5zlnM2YM0TXWaC0VlMQGg1GqbHarhG5OrjF6HKMcR8pz8oZLa4J1X4-8EArbfzfTPYXWn113eapwZeOwteV4Ge6FfkWl4T5imlKVte6WfBEZ-8QO9YWlMyCWkGr-ZtgvmD9hJoQOTTjzELU0zTaQ_BmOMwpPg7baHjh_TUXss-DBvk%3D
NCS,3.8,Data Analyst (Fusion Poly Graduate Programme),Singapore,43000 - 58000,"Assist in designing and installing software solutions for Data Management, Data Visualisation, Data Warehouses or Big Data platforms. Integrate data analytics platforms to peripheral applications for monitoring, authentication, alert management and log management etc Bring your ideas to effective and innovative engineering, such as automation of routine monitoring and maintenance tasks Work closely with project manager and technical leads to provide regular status reporting and support them to refine issues/problem statements and propose/evaluate relevant analytics solutions Work in interdisciplinary teams that combine technical, business and data science competencies that deliver work in waterfall or agile software development lifecycle methodologies Diploma in Computer Science or STEM fields Diploma graduate with less than two years of relevant working experience Positive attitude, eagerness to learn, good team player and highly collaborative Monday to Friday Performance bonus Local Polytechnic Diploma (Preferred)",https://www.glassdoor.sg/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001872420be968ac5ef671abf2e9b&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d1239af0&cb=1679938338791&jobListingId=1008335453489&cpc=3DB599BF2F4828F0&jrtk=3-0-1gsi21fljma4j801-1gsi21fma2a4v000-de08de1b04e87f67--6NYlbfkN0BVbzBYOvoBBQ8A65lXM6vpZWVSULDgSR2UP5XRz1v9ZzSfHe7nvukZfxLeyVTIhcmHc9Kb1FXgJptWMTeTu4tfCTNXYDhR_6pAiOY08cR0D_g1kAewVFmUJIhAkrx26SjP23c-5C8axqXiwwtYeAeMDDw6aON6OLV4lrnMaJH4VsYXSHxyLdY2kSkFgKmh3x_I6lgIIMvXdD0ZDbvTYAagocMq2rgjxD1DawzORmQ3SqkcWClCMqRP2UhdbI3ez1q7B1PZJITdUTQQeP7UUMRB3-YpSPTCkfHdPeEIgfI94yC86_My7LLI0nNegWMOA6xGCdbP-nRsbqyEUcZdEpajxKi-cmyO75yjZszbDkeZvkz9CxLcXwyUZcfv7kCr_D0njFdVGjwVsXJuXXpMzonESgpNkTAp8oBwNsUb1sHddfKcN2mkjNwIYn6h7fP2MqxaWOPjpS1x6XaJG28zwkfFJwYokIhEpHkLQ4p185tF6JSpBTsRkaedzmLLAd8muos4X34SZ-7Gwp-XDAEqabuVqbyYd6VbrNe2aId0GhfymrSoaE811dw7qttWBQx9-q4aE0BuoKvRBs7SDTrC40hLm3SQS0rCRBVLzp6ZZy6EM4wPGDo4Ya09o8sFC6qkwVU%3D
EV-ELECTRIC (EVE) CHARGING PTE. LTD.,NA,Data Analyst,Singapore,4000 - 6000,"Identify and research on potential clients for EV charger deployment
 Develop and finetune business strategies and proposals, business models, and make sales pitches and presentations to clients
 Negotiate contract terms with clients
 Develop and maintain client relationship
 Design, develop and maintain the data architecture and systems, including data engineering, and implementing various data pipelines into data warehouse
 Develop data-sharing and integration platform architecture, including data interfaces across internal and external systems
 Develop and maintain effective data management protocols to ensure up-to-dateness, accuracy, and integrity of datasets
 Draw insights and recommendations from analysis to facilitate policy, masterplanning and programme development and enhancement
 Conduct data mining, statistical and machine learning techniques to answer key business objectives
 Conduct research into customer personas and behaviours, and map out corresponding service design blueprints
 Understand and enhance a customer’s experience throughout all types of interaction across the organization
 Conduct relevant engagements (e.g. different customer segments, EV charging operators) to identify challenges and pain points, and work with internal stakeholders to improve processes and workflows
 Bachelor’s degree in any field
 At least 1-2 years working experience in an analytical, research and data management role
 Possess strong analytical, strategic and financial acumen
 Knowledge in data engineering pipelines and ETL tools
 Knowledge in analytics tools such as Tableau, Python, R, Machine Learning
 Experience in using Power BI, Tableau and Google Data Studio for dashboard creation would be an advantage
 CX/UX design experience
 Excellent communication and presentation skills
 Ability to meet deadlines effectively
",https://www.glassdoor.sg/partner/jobListing.htm?pos=111&ao=1110586&s=58&guid=000001872420be968ac5ef671abf2e9b&src=GD_JOB_AD&t=SR&vt=w&cs=1_4c97da88&cb=1679938338791&jobListingId=1008545702694&cpc=FB7E4A1762AE5BEC&jrtk=3-0-1gsi21fljma4j801-1gsi21fma2a4v000-ea029486b7c6c83b--6NYlbfkN0DDngqMaf0VkHGuTUEdQzD8rifzbXva63y-SEiSuTkhEyLrw75V5etFArisuH_o37F_uhmO53SHvxVHDgJicTN5Sg2YntxY-H3955T7RMpxf24ui8JZj31cq50c2q0FcPb1QwM4pdtNCoQKaq2xsRLsoXnRwNS8ud2hbkDRGZ5pSdQhDRHHgqO-iCPMXBrKC8wQAcRgvHAQcHLJxjayIePeez7zgutC3W8Gw7NhA1kVIBtvLIAnmg4gA0XBZxe9LYKmJF_MAI0r0W9QQAfRNbP7sjXmSE1qh6COS1Pnhrxz2782jQ2fJwE3W4NhDpt8pkwEzBRuzeQNG5PN_OkvizHrIdgOAN9Ep6LssgrcEcFYh0xtk4nPinPXHoYrFQ3x15KR1IlJ3gKBzux3h7sWHnMwquu0L58kxB18sYX0q493xh0L_UZtZfoJC5YGxQx5mBRxWfM5_B4G-lgiuJFyU2-ZwbopKfcXdnyeZ_ChZ1WdV9wuoo9XptE-3IxiPtHnx1mBJ93Mp-6H-p5MqJ0OXMGZzgs5ycO35aPH2S2vYqBFkxc-7M8-lvxXpjALMM22ECkKqa8qn34uWqJCemtrQvtFjFTwRBo7mwI82I8uxxdOrgpovzheX-gDOgN4auN26K6ih-w008MquaczC0rtWRNz_coGy3FxI2s4wXhi3_WCy-2rfIejooMXwktvd2aU16XyiwoOgeAveM5FZgZXq3tJRvoW-TAXu5b85SV4Ew0_MzDx1H-jxp6A3mlrtRMA3dUZIq1mx96gLtjdNSBOq3ueu9302c-LHKc%3D
INFOCEPTS PTE. LTD.,4,Data Analyst,Singapore,4000 - 6000,"Using automated tools to extract data from primary and secondary sources
 Removing corrupted data and fixing coding errors and related problems
 Developing and maintaining data in databases, data systems – reorganizing data in a readable format
 Performing analysis to assess quality and meaning of data
 Filter data by reviewing reports and performance indicators to identify and correct code problems
 Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets that could be helpful for the diagnosis and prediction
 Preparing reports for stakeholders stating trends, patterns, and predictions using relevant data, with the aim of driving stakeholder action on their businesses/functions
 Building dashboards and curating data stories for use cases
 1 to 2 years of data analyticcs experience
 Strong proficiency in Python and SQL scripting skills
 Prior experience with at least 1 BI tool such as Tableau, PowerBI, QlikSense and/or similar software is essential
 Knowledge of how to create and apply the most accurate algorithms to datasets in order to find solutions
 Knowledge of at least one database tool such as MySQL, MS SQL and/or PostgreSQL
 Strong mathematical skills to help collect, measure, organize and analyze data
 Adept at queries with good communication and stakeholder management skills",https://www.glassdoor.sg/partner/jobListing.htm?pos=126&ao=1110586&s=58&guid=000001872420be968ac5ef671abf2e9b&src=GD_JOB_AD&t=SR&vt=w&cs=1_1117e045&cb=1679938338794&jobListingId=1008514648086&cpc=FB7E4A1762AE5BEC&jrtk=3-0-1gsi21fljma4j801-1gsi21fma2a4v000-bfa4affb4536730b--6NYlbfkN0DDngqMaf0VkHGuTUEdQzD8rifzbXva63y-SEiSuTkhEyLrw75V5etFArisuH_o37G22fkQ18PV8SuUW85S0UiMovC7VL7GGDwUTG_5itu1gKLWYfrdjWgQwm8xXJDAWFyNyj84OkscQMr-HO1sVkPk4pRZVb9TkTenGHurl1RvyFnzh6gudvCS3DuqcoRnm0BVDog_Hnro2RX-aLNey1QrhiqZLfA0C4FaoVMvow1_b5EdfEJVyRVo014wKRkzUtn-LMhGVrIsOZCS-FDFgjmt8Yy0cxvzffLdpBEXfPWcd3a4VeByJ9coQaDIAZ6sHFK6UshfbSDwnyuklM7pfdk5quLq8GpoMHFMl8OhWNVjayoSjhZyfgk7Np5CqpHNlTWBpi5BTHZHhhz0Ml0p657Sbws4afHUhNRYdhAyExWWXUGLpqt-QgDWubPWMQ6WMtxpqLeVlnqbk8RVPOd_yzVjHypgCxy0-pvPDFNKy0LS1IsUH2HsoYXOmJ_FyR0tgPjFptPapDRx5Kb8z7inxwerJ6kd0oGmXUrivZX3d3gsrbi0dl5ue7qb5GF45gomJx_geGt9VrLECWNHvAh5iwHZJ6iuUReuAyqHUtbCnArQH4Kd5M0UWm7UelKWH76m34oO_ufhMAY-fuBejkNlMwXt11YyK_Y48qs-Ln7-HOrQjaJUElT9UJPxYXFmigy8NVIn_dZE7a1FSgtGAcPf_8dYlZqtgzxQfqxKFXcYrxXC6pOwN-tNtlp-o-2G6BA3xTu19TpwECsdtNXsNms_6QUbDUt-ReOVq4Z1wSlu0zakFg%3D%3D
